ar	QuadClass
غير أنه بالرغم من زيادة الاهتمام والتطورات الإيجابية الأخيرة في هذا المجال، لا يزال هناك العديد من التحديات في الميدان فيما يتعلق بالتنفيذ، لا سيما التحديات ذات الصلة باستمرار الافتقار إلى الوضوح فيما يتعلق بمفهوم حماية المدنيين وتفعيلها، وآليات التنسيق الداخلي والخارجي، والإنذار المبكر والاستجابة السريعة، وتقديم الدعم إلى قوات الأمن التابعة للحكومة المضيفة، وقدرات القوات، وتوفير الموارد.	0
15 - منذ تقديم تقريري المؤرخ 2 كانون الثاني/يناير 2008 إلى مجلس الأمن (S/2008/1)، أزالت عملية الأمم المتحدة في كوت ديفوار جميع مراكز المراقبة وعددها 17 التي كانت قد أنشأتها على طول الخط الأخضر، تمشيا مع أحكام اتفاق واغادوغو، فيما عدا اثنين.	2
50 - قام المقرر الخاص المعني بتعزيز حقوق الإنسان والحريات الأساسية وحمايتها في سياق مكافحة الإرهاب بزيارة رسمية إلى بوركينا فاسو من 8 إلى 12 نيسان/أبريل 2013 بدعوة من الحكومة، لجمع معلومات عن الحالة الراهنة في بوركينا فاسو، تمهيدا لمساعدة الحكومة في جهودها الرامية إلى مكافحة الإرهاب مع احترام حقوق الإنسان وتعزيز تطبيق الصكوك الدولية.	2
"والهدف من هذه الجهود تحسين الأمن في المنطقة وتدعيم تحالف وادي جوبا وتحقيق المصالحة بين الجنرال ""مورغان"" وتحالف وادي جوبا الذين كانوا يتنازعون على أقاليم في وادي جوبا منذ عدد من السنوات."	2
وينبغي أن تمتنع الدول عن إعاقة الجهات الفاعلة في المجال الإنساني في جهودها الرامية إلى إشراك الجماعات المسلحة من غير الدول في الأغراض الإنسانية، بما في ذلك الاضطلاع بأنشطة ترمي إلى تعزيز احترام القانون الإنساني الدولي.	4
يحث الدول الأعضاء على ضمان زيادة تمثيل المرأة على جميع مستويات صنع القرار في المؤسسات والآليات الوطنية والإقليمية والدولية لمنع النـزاعات وإدارتها وحلها.	4
38 - يشير على اللجنة بأن تحدد الحالات المحتملة لعدم الامتثال للتدابير المتخذة بموجب الفقرة 1 أعلاه وأن تقرر مسار العمل الملائم في كل حالة على حدة، ويطلب إلى الرئيس أن يفيد عن التقدم الذي تحرزه اللجنة مرحليا في عملها بشأن هذه المسألة، في التقارير الدورية المقدمة إلى المجلس عملا بالفقرة 46 أدناه؛	2
حاء منع الاستغلال والاعتداء الجنسيين من طرف أفراد الأمم المتحدة والأفراد ذوي الصلة وشركاء الأمم المتحدة، والتصدي لهما؛	4
"في جلسة مجلس الأمن 6043 المعقودة في 9 كانون الأول/ديسمبر 2008، أدلى رئيس مجلس الأمن باسم المجلس بالبيان التالي فيما يتعلق بنظر المجلس في البند المعنون ""الأخطار التي تهدد السلام والأمن الدوليين بسبب الإرهاب"":"	0
الأعمال المتعلقة بالألغام والمتفجرات من مخلفات الحروب	0
(ج) إحالة جميع المعلومات التي زودت بها اللجنة أمين المظالم بشأن القرار، عملاً بالفقرة 14 أعلاه.	0
6 - واستنادا إلى الاستعراض الشامل لجميع بنود القائمة الذي أُكمل في عام 2010 عملا بالفقرة 25 من القرار 1822 (2008)، نفذت اللجنة منذ ذلك الحين عددا كبيرا من الآليات للتأكد من أن القائمة تُعطي أدق صورة ممكنة للتهديد الذي يشكله تنظيم القاعدة، وكفالة إعادة النظر دوريا في كل بند لتحديد ما إذا كان ثمة مبرر لإبقائه على القائمة.	2
فالافتقار إلى القدرات الكافية يشكل بالنسبة للعديد من الدول تحديا رئيسيا في مجال رصد حظر توريد الأسلحة وإنفاذه بصورة فعالة.	0
واستحدثت ثلاث دول إجراءات تحظر تسليم الأفراد الذين قد يتعرضون للتعذيب أو الاضطهاد.	2
كفالة فعالية تنسيق وتنفيذ سياسة الإجراءات المتعلقة بالألغام والمبادئ التوجيهية لبرامج الإجراءات المتعلقة بالألغام. الفريق العامل المشترك بين الوكالات المعني بنزع السلاح والتسريح وإعادة الإدماج (ترأسه إدارة عمليات حفظ السلام وبرنامج الأمم المتحدة الإنمائي) يقدم الفريق العامل المشورة الاستراتيجية بما في ذلك ما يتعلق بالوحدات التدريبية، والسياسات والاستراتيجيات؛ ويدير ويستعرض المبادئ التوجيهية التي وضعتها الأمم المتحدة في مجال نزع السلاح والتسريح وإعادة الإدماج؛ يطوّر ويدير مركز الأمم المتحدة للموارد المتعلقة بنزع السلاح والتسريح وإعادة الإدماج؛ وييسر تخطيط عمليات نزع السلاح والتسريح وإعادة الإدماج بين مختلف وكالات الأمم المتحدة المعنية.	2
وأوضح أيضا أن عدم انتخاب البرلمان اللبناني لرئيس جديد قوض استقرار لبنان وقدرته على الصمود منذ اندلاع النـزاع في الجمهورية العربية السورية.	4
وتأثرت النساء والأطفال، ولا سيما الفتيات، جراء أعمال العنف والنزاعات المستجدة التي نجمت عن انتشار الميليشيات والجماعات المسلحة المرتبطة في بعض الحالات بالتطرف العنيف، في حين لا يزال العديد من النزاعات التي طال أمدها ينتظر تسويتها.	1
واختير عدد قليل جدا للمراجعة، وفي نهاية الأمر، بعد إتمام كل الإجراءات المبينة في المبادئ التوجيهية للجنة، بما في ذلك الجهود الرامية إلى الحصول على معلومات من دول أخرى ذات صلة، انتهت المراجعة من دون إجراء أية تغييرات على القائمة.	0
٦٠ - إن دعم استعادة الحد الأدنى من سلطة الدولة بشكل مستدام وبسطها لتشمل المناطق المحررة من الجماعات المسلحة، يتطلب تعزيز التزام الحكومة بأن تقوم بنشر الجهاز الإداري للدولة، ويشمل ذلك أفراد الشرطة والقضاء وموظفي السجون، وما يلزم من موارد.	2
"""ويحث مجلس الأمن الدول والمنظمات الدولية، وكذلك القطاع الخاص، على تبادل الأدلة والمعلومات والاستخبارات، حسب الاقتضاء، لأغراض إنفاذ قوانين مكافحة القرصنة، بما في ذلك بهدف ضمان الفعالية في ملاحقة المشتبه فيهم قضائيا، وسجن القراصنة المدانين، ويجع المبادرات المتخذة في هذا الصدد حالياً وفي المستقبل."	4
وفي قضية أخرى، اعتبـرت تلك المحكمة مرة أخرى العناصر المختلفة لهجوم موجـه ضد السكان المدنييـن جزءا من تعريف الجرائم المرتكبة بحق الإنسانية.	0
واستجابة لذلك، أنشأت إدارة العدالة التابعة للبعثة فريقا عاملا مشتركا مع عنصر بناء المؤسسات لدراسة التقرير واستنباط سبل تنفيذ التوصيات الواردة فيه.	2
(أ) الاستمرار في تعزيز تعاونها مع المنظمات الدولية والإقليمية ودون الإقليمية وتطوير طرائق للعمل مع تلك المنظمات على أساس كل حالة على حدة، على نحو يعكس التباين في قدرة وولاية كل منظمة، ويشمل ذلك عمليات التبادل على صعيد العمل، والإحاطات التي تقدمها اللجنة والتي تتلقاها، وتعزيز الترتيبات المتعلقة بتبادل المعلومات؛	2
"""ويدين مجلس اﻷمن بقوة تعمﱡد استهداف المقاتلين للمدنيين في الصراعات المسلحة ويطلب إلى جميع اﻷطراف المعنية وضع حد لهذه اﻻنتهاكات الماسة بالقانون اﻹنساني الدولي وقانون حقوق اﻹنسان."	3
وعلى الدول أيضا منع من يمولون أو يدبرون أو يـيـسرون أو يرتكبون الأعمال الإرهابية من استخدام أراضيها في تنفيذ تلك المآرب ضد دول أخرى أو ضد مواطني تلك الدول (الفقرة 2 (د)).	2
(د) أو تقديم أي شكل آخر من الدعم لأعمالهم أو أنشطتهم؛	0
(أ) فريق للرصد في نيويورك يتكون من عدد من الخبراء يصل إلى خمسة، بمن فيهم رئيس الفريق، من أجل رصد تنفيذ جميع التدابير المفروضة بموجب القرارين 1267 (1999) و 1333 (2000)، في جميع الميادين بما فيها تلك المتصلة بحظر السلاح ومكافحة الإرهاب وما يتصل بذلك من تشريعات، وغسل الأموال، والصفقات المالية، والاتجار بالمخدرات، نظرا للصلة بين شراء الأسلحة وتمويل الإرهاب؛	2
21 - وتتضمن آخر الإضافات إلى القائمة الإرهابيين والجماعات الإرهابية المرتبطين بتنظيم القاعدة والعاملين في آسيا الوسطى وجنوب آسيا وجنوب شرق آسيا والشرق الأوسط، بما في ذلك العراق.	0
واعتقل النظام زهاء 47 فردا يُعتقد أنهم جُندوا قسرا في قوات النظام.	1
ومن ناحية أخرى، تنشر كتائب الموت والميليشيات المؤلفة من عناصر مستقلة الرعب وترتكب أعمال الإعدام والخطف.	1
(ج) يدعو كذلك جميع الأطراف الواردة أسماؤها في مرفقات تقرير الأمين العام عن الأطفال والنزاع المسلح إلى التصدي لجميع الانتهاكات والاعتداءات الأخرى المرتكبة ضد الأطفال، وقطع التزامات واتخاذ تدابير محددة بهذا الخصوص؛	4
وفي الجلسة 4170 المعقودة في 13 تموز/يوليه، اعتمد المجلس القرار 1307 (2000)، الذي أذن فيه بجملة أمور منها تمديد ولاية بعثة مراقبي الأمم المتحدة في بريفلاكا إلى 15 كانون الثاني/يناير 2001 لتواصل رصد تجريد شبه الجزيرة من السلاح.	4
ويجب أن يسعى مجلس الأمن الآن إلى طمأنة المحاكم بأن نظام الجزاءات المنشأ عملا بالقرار 1267 (1999) (نظام جزاءات القرار 1267) نظام يتسم بالنزاهة، وأن يقوم، بدعم متزايد من الدول الأعضاء، بإعادة تأكيد الغرض الأصلي من هذا النظام، وهو تخليص العالم من خطر الإرهاب الناجم عن تنظيم القاعدة وحركة الطالبان والجهات المرتبطة بهما المدرجة في القائمة.	4
والواقع أنه باستثناء بن لادن والزرقاوي والملا عمر وغيرهم من الإرهابيين المعروفين، قد لا يعلم الجمهور إلا القليل نسبيا عن كثير من الأفراد المدرجين في القائمة.	0
وكان ثمة مشكلة إضافية هي أن الحكومة لم يكن متوفرا لديها فيما يبدو موارد عسكرية كافية نظرا لأن كثيرا من قواتها كان لا يزال موجودا في الجنوب ومن وجد منهم في دارفور كان موزعا بالأساس على المراكز الحضرية الرئيسية.	0
٤٣ - وفي أعقاب نشر المواصفة المتاحة للعموم رقم 28007 الصادرة عن المنظمة الدولية لتوحيد المقاييس بشأن المبادئ التوجيهية لشركات الأمن البحري الخاصة التي تقدم أفراد الأمن المسلحين المتعاقد معهم من شركات خاصة على متن السفن، يمكن الآن التصريح بامتثال شركة أمن بحري خاصة باتباع هذا المعيار الطوعي من أجل تيسير التنفيذ الدولي الموحد.	0
8 أيار/مايو 2006 وقع حادث عنف في غلينو حيث هوجم ضباط شرقيون من قوة الشرطة الوطنية لتيمور - ليشتي.	1
وقد أجرى فريق الوساطة مناقشات ثنائية مع الحكومة ومجلس التنسيق الذي يتألف من الحركة الوطنية لتحرير أزواد والمجلس الأعلى لوحدة أزواد والحركة العربية لأزواد، وانضم إليهما أشخاص من مجلس التنسيق الثاني للحركات والقوات الوطنية للمقاومة، وفصيل تابع لائتلاف الشعب من أجل أزواد، من جهة، ومن جهة أخرى، مع الحكومة والجماعات المسلحة لائتلاف الخطة التمهيدية الذي يضم مجلس التنسيق الأول للحركات والقوات الوطنية للمقاومة وائتلاف الشعب من أجل أزواد والفصيل الآخر للحركة العربية لأزواد، فضلا عن أفراد من مجموعة طوارق إمغاد وحلفائهم للدفاع الذاتي (غاتيا) دعاهم ائتلاف الخطة التمهيدية.	4
(ج) الأفراد المدرج أسماؤهم على القائمة الذين أبلغ بوفاتهم، مشفوعة بتقييم المعلومات اللازمة المبينة في الفقرة 28 (ج) وفي حدود الإمكان، وضع الأصول المجمدة ومكان وجودها وأسماء أي أفراد أو كيانات يكون في مقدورهم أن يتلقوا أيا من هذه الأصول بعد رفع التجميد عنها؛	0
31 - ورحب كل من الدول والعديد من العناصر الفاعلة الدولية بانفتاح عملية الاستعراض الشامل وحثت لجنة القرار 1540 على أن تواصل هذا النهج وأن تزيد من جهودها المفيدة بالفعل من أجل تحقيق الشفافية وسياسة الشمول.	4
وهاجموا وقتلوا 54 شخصا وجرحوا 24 شخصا آخر، وحرقوا منازل قبل انسحابهم، ونهبوا أبقارا وممتلكات منزلية.	1
وقررنا أيضا إجراء مناقشتين تتناولان موضوعي منع نشوب الصراعــات والأطفال في الصراع المسلح يومي 20 و 26 تموز/يوليه على التوالي.	4
103 - وقامت القوات الجوية لكوت ديفوار بنقل جميع عتادها الجوي السليم والمعطل إلى القاعدة الجوية بمطار أبيدجان الدولي.	0
ففي ليرنيب (إقليم تمبكتو)، في أيلول/سبتمبر، حذرت الحركة العربية لأزواد (الخطة التمهيدية) في العديد من الاجتماعات العامة من أنها ستعاقب السكان المحليين الذين يقدمون معلومات إلى البعثة المتكاملة والقوات الفرنسية. وفي 23 أيلول/سبتمبر، عُثر على جثة مقطوعة الرأس لرجل في منطقة زويرا على بعد 80 كيلومترا شمال تمبكتو كان واحدا من خمسة رجال اختطفهم تنظيم القاعدة في بلاد المغرب الإسلامي في 16 أيلول/سبتمبر واتهمهم بالتعاون مع القوات الدولية، وقد اختفوا من ذلك الحين.	1
وباكتمال تجهيز المطالبات في حزيران/يونيه 2005، تكون المهمة الرئيسية المتبقيةُ لأعضاء اللجنة دفع التعويضات لأصحاب المطالبات التي جرت الموافقة عليها.	0
"121 - ""الجنجويد"" الذين يشير إليهم معظم الضحايا في الصراع القائم هم مليشيات عربية تغير على قرى هؤلاء الضحايا ممتطين الخيول أو الجمال، يقتلون وينهبون ويحرقون ويغتصبون."	1
وإضافة إلى ذلك، يطبق الاتحاد الأوروبي نظاما فوق وطني يرمي إلى كفالة تجميد أموال الإرهابيين وأصولهم داخل جميع دوله الأعضاء.	2
23 - يطلب إلى فريق الدعم التحليلي ورصد الجزاءات أن يقدم، بالتعاون الوثيق مع هيئات الأمم المتحدة الأخرى المعنية بمكافحة الإرهاب، تقريرا إلى اللجنة المنشأة عملا بالقرارين 1267 (1999) و 1989 (2011) في غضون 180 يوما، وأن يقدم إلى اللجنة في غضون 60 يوما بيانا أوليا شفويا عن آخر المستجدات المتعلقة بالتهديد الذي يشكله المقاتلون الإرهابيون الأجانب الذين جندهم تنظيم الدولة الإسلامية في العراق والشام وجبهة النصرة وكافة الجماعات والمؤسسات والكيانات المرتبطة بتنظيم القاعدة أو الذين انضموا إلى صفوفها، يتضمن ما يلي:	2
واعتمدت الجمعية العامة بالإجماع وفي وقت لاحق في عام 2006 الاستراتيجية العالمية لمكافحة الإرهاب التي كانت لها أهمية كبيرة في إعادة تأكيد الالتزام الجماعي للمجتمع الدولي بالتصدي لخطر الإرهاب الذي يهدد الجميع.	4
محطات المياه في 23 تشرين الثاني/نوفمبر 2014، فجّر تنظيم الدولة الإسلامية سيارة مفخخة بالقرب من محطة لتنقية المياه في قرية ميدان بالحسكة مما أدى إلى إلحاق أضرار كبيرة بالمحطة. محطات توليد الطاقة	1
94 - وبالرغم من التقدم الذي أحرز مؤخرا، فإن القيود اللوجستية والسياسية والأمنية ستجعل تسريح وإعادة إدماج المحاربين السابقين وعددهم 000 180 محارب، والمخطط بحلول نهاية فترة اتفاق السلام الشامل أمرا في غاية الصعوبة.	1
وقامت الحكومة أيضا، بالتعاون مع فريق الأمم المتحدة القطري وبإسهام من البنك الدولي بإعداد كتيب عن الأهداف الإنمائية للألفية يلخص موقف تيمور - ليشتي الحالي ويحدد مؤشرات تحقيق تلك الأهداف وما ينطوي عليه تحقيقها من آثار فيما يخص السياسات العامة.	4
ومع ذلك نجد هنا مجندي شرطة، أبعد ما يكونون من أديس أبابا، ناهيك عن روما أو لاهاي، قد سمعوا عن المحكمة الجنائية الدولية ويشعرون بالقلق إزاء مسؤوليتهم الجنائية أمامها.	0
(ج) قائمة بالأفراد المبلغ عن وفاتهم من بين أولئك المدرجة أسماؤهم في القائمة، والكيانات التي يرد بشأنها ما يفيد أو يؤكد أنها لم تعد قائمة، مشفوعة بالوثائق المطلوبة في الفقرة 23 (ج)؛	0
بيد أن العديد من المناطق في البلد تفتقر إلى القدرات اللازمة للاحتجاز وإلى أي محاكم عاملة، مما يجبر سلطات إنفاذ القانون على الإفراج عن جناة يُفترض أنهم خطيرون أو التقدم بطلبات إلى وحدات البعثة لاحتجاز المشبوهين لأسباب أمنية ولحماية المدنيين.	1
فقتل 6 رجال ودفنوا في مقابر واحدة.	1
والإدارة مسؤولة عن تنظيم وإدارة فيلق حماية كوسوفو فضلا عن تخطيط وتنسيق تنفيذ الاستجابة في حالات الطوارئ في الكوارث الطبيعية وغيرها.	2
والإجراءات الاحتياطية التي من هذا القبيل مبينة في القانون الدولي العرفي، وهي كما يلي: ينبغي على المحارب (أ) عمل كل ما هو ممكن للتحقق من أن الأهداف التي ستهاجم ليست مدنية الطابع؛ (ب) اتخاذ جميع الإجراءات الاحتياطية الممكنة عند اختيار وسائل القتال وأساليبه لتفادي الإصابة العارضة للمدنيين أو للأهداف المدنية، أو على الأقل لتقليلها إلى أدنى حد ممكن؛ (ج) الامتناع عن شن هجمات قد يتوقع أن تتسبب في فقدان أرواح المدنيين بشكل عارض أو إصابتهم بشكل عارض أو إصابة أهداف مدنية بشكل عارض، بحيث يكون ذلك مفرطا بالنسبة للفائدة العسكرية المحددة المباشرة المتوقعة؛ (د) توجيه تحذير مسبق فعال بخصوص الهجمات التي قد تؤثر على السكان المدنيين، باستثناء ما يحدث في حالات الهجوم، على النحو المنصوص عليه في المادة 26 من أنظمة لاهاي لسنة 1907، أو على النحو المنصوص عليه في المادة 57 (2) (ج) ونصها 'ما لم تسمح الظروف بذلك` أي عندما يرى المحارب أن الهجوم المباغت لا غنى عنه.	2
فقد سنت تشريعات لمكافحة الإرهاب وبذلت جهودا لزيادة تدعيم التنسيق والتعاون على الصعيد الإقليمي لا سيما في السياق البحري.	2
وتتصل الشواغل الأمنية الرئيسية بالنشاط الإجرامي والقتال بين الفصائل.	0
يؤكد وجوب محاسبة جميع المسؤولين عن انتهاك حقوق الإنسان وامتهانها، ويشدد على ضرورة إجراء تحقيق شامل مستقل محايد مستوف للمعايير الدولية بخصوص ما زعم وقوعه من انتهاك وامتهان لحقوق الإنسان لمنع الإفلات من العقاب وضمان المحاسبة على ذلك على نحو تام؛	2
وتتراوح المواقع ما بين تلك المنشأة من أجل الترويج لأفراد بعينهم مثل شامِل باساييف في الشيشان أو جماعات بعينها مثل لاشكار الطيبة في باكستان، إلى تلك التي تستهدف تبرير الإرهاب المتصل بتنظيم القاعدة بوجه عام مثل موقع صوت الجهاد، أو تلك التي تقدم التدريب الإرهابي مثل موقع البتّار.	0
60 - وثمة جانب آخر يتعلق ببند الاستثناءات الإنسانية يمكن أن يكون موضع إشكال، وهو أن الدولة التي يقيم فيها الطرف المدرج في القائمة هي من يقرر تلقي اللجنة أو عدم تلقيها لالتماس مقدم بموجب القرار 1452 (2002)، لأن الفرد العادي أو الكيانات الخاصة لا يسمح لهما بتقديم التماس إلى اللجنة مباشرة().	0
"واتهم قادة الحكومة ومؤيدوها، من جانبهم، الحركة الوطنية لكوت ديفوار وغيرها من ""حركات المتمردين"" باستخدام قوات أجنبية وارتكاب أعمال وحشية، أبرزها قتل العشرات من رجال الدرك في بواكيه."	3
واستطاعت اللجنة إثبات سرد مفصل ودقيق لأحداث نيسان/أبريل وأيار/مايو التي أفضت إلى خسائر كبيرة في الأرواح وإلى وقوع إصابات وإلى إلحاق ضرر واسع النطاق بالممتلكات.	1
206 - وبعد التدقيق في الملف، يمكن للجنة إبراز النقاط التالية:	0
وجرى تدريب ضباط من قوات الأمن الوطني (50 ضابطا في أدري و 42 ضابطا في أبيشي).	2
رسالة مؤرخة 22 كانون الأول/ديسمبر 2009 موجهة إلى رئيس مجلس الأمن من رئيس لجنة مجلس الأمن المنشأة عملا بالقرار 1518 (2003)	0
ومع أن هذه المبادرة أتت استجابة لنمو الاتجار بالمخدرات والجريمة المنظمة العابرة للحدود الوطنية في غرب أفريقيا، فإن وحدات مكافحة الجريمة العابرة للحدود الوطنية ستعمل بوصفها مراكز إنفاذ القانون تدعم القدرات التقنية والتحليلية على الصعيدين الوطني والإقليمي من أجل الاستجابة للتهديدات العابرة للحدود الوطنية.	2
التدابير المحددة الهدف والتدريجية ردا على الاتجار غير المشروع بالأسلحة الصغيرة والأسلحة الخفيفة	0
وبعد ذلك بثلاثة أيام، قام آل جليل بشراء 25 بندقية هجومية من طراز AK-47 ومدفعين مضادين للطائرات و 6 مدافع رشاشة من طراز PKM و 4 قاذفات صواريخ من طراز RPG-2 وذخيرة.	1
وسلم المجلس بفائدة الإحاطات السنوية المقدمة من رؤساء العناصر العسكرية، وقال أيضا إنه يرحب بقيام رؤساء عناصر الشرطة بتقديم إحاطات مماثلة إليه من أجل تحسين فهمه التحديات التشغيلية.	4
وعلاوة على ذلك، احتفظت حركة الطالبان بقدرتها على استيراد الأسلحة والمواد واليد العاملة، ويكمن سر النجاح العسكري في تعطيل خطوط إمداداتها وحرمانها من المناطق الآمنة التي يمكن لمقاتليها اللجوء إليها لتجديد طاقاتهم فيما بين العمليات وتدريب المجندين الجدد.	1
ويؤيد المجلس فكرة إنشاء وحدة داخل الأمانة العامة للمساعدة في إرساء دعائم سيادة القانون، ويتطلع إلى تلقي مقترحات الأمانة العامة بشأن تنفيذ التوصيات الواردة في الفقرة 65 من تقرير الأمين العام عن سيادة القانون والعدالة الانتقالية في مجتمعات الصراع ومجتمعات ما بعد الصراع (S/2004/616).	4
6 - وترتبت على إنهاء الصراع في عام 1999 آثار عميقة في العلاقة القائمة بين مختلف الطوائف في كوسوفو، لا سيما ألبان كوسوفو وصرب كوسوفو.	0
وبالإضافة إلى ذلك، هناك مجموعة من الجماعات الفلسطينية المسلحة الناشطة في البلد داخل وخارج مخيمات اللاجئين.	0
484 - وقد أكدت لجان التحقيق في حالات الاغتصاب أثناء مناقشاتها مع اللجنة بشأن منهجية تلك اللجان، على الإعلان الواسع النطاق عن ولايتها.	4
420- ويقيّم الفرع الوارد أدناه فعالية التدابير التي اتخذتها حكومة السودان، وخاصة فيما يتعلق بالتحقيق في هذه الجرائم وتقديم مرتكبيها للعدالة.	0
وحدات الاستخبارات المالية: إنشاؤها وتشغيلها	0
"""ويدعو مجلس الأمن بوروندي إلى منع تقديم أي دعم من أراضيها إلى جماعات مسلحة داخل جمهورية الكونغو الديمقراطية."	3
30 - وقد اتسم موقف السلطات الحكومية تجاه اللجنة بروح التعاون، بصفة عامة.	4
وهو يشدد أيضاً على حظر المواقع الشبكية التي تحتوي على مواد متطرفة ووقف تلك المواقع، وعلى تنظيم المشاكل التي تنشأ في هذا الميدان.	2
وتوصي اللجنة بمحاكمة الأشخاص التالية أسماؤهم فيما يتعلق بحيازة أسلحة قوة الشرطة الوطنية واستخدامها ونقلها بصورة غير مشروعة في 8 أيار/مايو و/أو 21 أيار/مايو: روجيريو لوباتو، وأوزيبيو سالسينها، وأنطونيو دا كروز، وفيسينتي دا كونسيتشاو، المعروف أيضا باسم راي لوس، وماتوس دوس سانتوس بيريرا، المعروف أيضا باسم ماوراكان، وليوناردو لوباتو، المعروف أيضا باسم غري هارانا، وأنطونيو لورديس، المعروف أيضا باسم 55، وماركوس دا سيلفا بيدادي، المعروف أيضا باسم لابادا، وفرانسيسكو، وسانتا كروز.	3
