en	VerCoop
The effectiveness of Malian transnational organized crime units remains significantly hampered by resource constraints despite the co-location of a United Nations Police Transnational Organized Crime Cell with Malian counterparts.	0
However, the situation inside Kosovo today still gives us cause for concern.	0
I have continued my dialogue with the Lebanese authorities on the matter and am looking forward to the early fulfilment of these obligations.	1
9. Calls on States that have not already done so to consider ratifying the instruments of international humanitarian, human rights and refugee law, and to take appropriate legislative, judicial and administrative measures to implement their obligations under these instruments;	1
The Commission also recommends that further investigations be undertaken to establish whether Leandro Issac had any culpable involvement in the crimes committed.	1
"The Security Council welcomes the continuing important efforts of the African Union and sub-regional organizations, consistent with Security Council resolutions and decisions, to settle conflicts, promote human rights, democracy, rule of law, and constitutional order in Africa,	1
3. Urges as a matter of priority that Member States ratify, accede to, and implement the relevant international conventions, such as the Single Convention on Narcotic Drugs of 1961 as amended by the 1972 Protocol, the Convention on Psychotropic Substances of 1971, the United Nations Convention against Illicit Traffic in Narcotic Drugs and Psychotropic Substances of 1988, the United Nations Convention against Transnational Organized Crime of 2000, the Protocols thereto and the United Nations Convention against Corruption of 2003, and the international counter-terrorism conventions and protocols;	1
The technical groups, each of which includes at least one representative of each cluster, deal respectively with technical assistance; terrorist financing; border security, arms trafficking and law enforcement; general legal issues; and issues raised by the Security Council in resolution 1624 (2005), as well as the human rights aspects of counter-terrorism in the context of resolution 1373 (2001). The two units deal with quality control, and public communications and outreach, respectively.	0
40. The Government of Lebanon has informed me that it had undertaken significant measures towards restricting such an influx of arms and people and the free movement of weaponry and armed elements to and from the Palestinian refugee camps in Lebanon in recent weeks, in particular since the end of September 2005.	0
11. Also during those informal consultations, two representatives of the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo briefed the Committee via videoconference concerning the Mission's sanctions-monitoring mandate and, in particular, weapons tracing and marking, pursuant to a request by the Committee.	0
Urging the Government of Sudan, the Liberation and Justice Movement (LJM) and Justice and Equality Movement-Mohamed Bashar (JEM-Bashar) to deliver on the commitments made in the DDPD, and urging all parties, in particular other armed movements who have not signed the DDPD, to engage immediately and without preconditions and to make every effort to reach a comprehensive peace settlement on the basis of the DDPD, and to agree upon a permanent ceasefire without further delay,	1
At the conclusion of the conference, declarations were adopted on key thematic areas, such as political and economic governance; private sector development; natural resource management; support of the Sierra Leonean diaspora; accountability; and frameworks for the exploitation of natural resources and allocation of state resources.	1
I also welcome the initiatives being undertaken by the Lake Chad Basin Commission to find lasting solutions to curb terrorism, violent insurgency and extremism through a common strategy.	1
Underlining that safe havens provided to terrorists continue to be a significant concern and that all Member States must cooperate fully in the fight against terrorism in order to find, deny safe haven and bring to justice, on the basis of the principle of extradite or prosecute, any person who supports, facilitates, participates or attempts to participate in the financing, planning, preparation or commission of terrorist acts or provides safe havens,	1
But how can this be achieved when the Agreements and the rule of law continue to be flouted; when our land remains occupied by force and our people dislocated from their hometowns and villages? Indeed, how can all potential arrangements of mutual benefit and normalization kick off when sovereign territories are not respected and demarcated?	0
- Regarding the first two points: major progress has been made in both areas since the presentation of the Czech Republic's fourth report. The amendment to the Anti-Money Laundering Act was passed on 8 April 2004 and took effect on 1 September 2004. It introduces i.a. the duty to report suspicious transactions associated not only with money laundering, but also with terrorist financing. The amendment more clearly defines the natural persons and legal entities falling within the scope of the Act.	0
Member States will be asked to kindly limit their intervention to 5 minutes.	1
It further reaffirms its determination to combat threats to international peace and security caused by acts of terrorism by all possible means in accordance with the Charter of the United Nations.	1
In addition, attacks by Al-Shabaab and affiliated groups in Uganda and Kenya have demonstrated its reach and recruitment capacity in Somali communities in those countries.	0
"The Security Council reiterates its call upon States in the region to deepen their cooperation with a view to putting an end to the activities of illegal armed groups, and reaffirms that any recourse to the threat or use of force against the territorial integrity of a State is contrary to the Charter of the United Nations.	1
It also held that, given the importance of the fight against international terrorism, the precautionary and temporary freezing of funds, allowing exceptions for basic expenses, did not constitute an arbitrary, inappropriate or disproportionate interference with the right to property.	0
Recommendations are also made concerning the involvement of national actors both to ensure sufficient knowledge of the social, political and cultural background relevant for the cases and to reinforce the development of the national justice sector.	1
Moreover, in principle, the establishment of a reporting line between the Office of the Ombudsperson and the Secretariat on substantive matters represents a direct and significant incursion into the independence of the Office, both in terms of perception and in practice.	1
However, the information given by the Shartai and Omdas who accompanied the National Commission, and the evidence available, indicate that all parties were responsible, under the circumstances of the blazing conflict, for the burning of the villages.	0
32. To date the Council has not requested that the Secretary-General report back to the Council on his efforts, as he was invited to do in presidential statements in 2009 and 2010, to mainstream the issue of drug trafficking as a factor in conflict prevention strategies, conflict analysis, integrated missions' assessment and planning and peacebuilding support.	1
A reduction of the threat posed by Congolese and foreign armed groups to civilians, the establishment of stronger and accountable State institutions and the strengthening of democratic practices to reduce the risk of instability should remain the key criteria guiding MONUSCO's gradual drawdown.	0
Initial measures 39. To resolve a crime of this magnitude requires strong management capacity, clear roles, coordination and access to sufficient competency, manpower, equipment and means of assistance.	1
17. We believe that taken together, the above steps provide the basis for a strategic approach to strengthening the forces for peace in Somalia. Such an approach would complement the measures already taken by the Council to contain the conflict.	0
The note of the Russian Foreign Ministry contains a proposal that Commonwealth member States should take analogous steps and withdraw from the regime of restrictions against Abkhazia, established in 1996.	1
Decides that [the mission] shall have the following mandate: Protection and security (a) Protection of civilians ... - To revise the comprehensive strategy for the protection of civilians and to coordinate with the United Nations protection of civilians strategy in liaison with the United Nations country team, to take into account the new realities on the ground and the specific needs of vulnerable groups, and to include measures to prevent gender-based violence pursuant to resolution 1960 (2010) and resolution 1882 (2009). - To work closely with humanitarian agencies, particularly in relation to areas of tensions and of return of displaced persons, to collect information on and identify potential threats against the civilian population, as well as reliable information on violations of international humanitarian and human rights law, bring them to the attention of the Ivorian authorities as appropriate, and to take appropriate action in accordance with the United Nations system-wide protection strategy in harmonization with [the mission's] protection strategy.	1
However, it appears that financial institutions and others involved in implementation are not yet aware of this and the Team recommends that the Committee and States find ways to bring it to wider attention.	1
During the election period, further destabilization activities are expected in this region.	0
Other measures contributing to a polarization of the two groups include the 1987-1989 conflict over access to grazing lands and water sources between nomads of Arab origin and the sedentary Fur.	0
99. Major terrorist groups in the region include Jemaah Islamiyah, which has been especially active in Indonesia, Malaysia and Singapore; the Abu Sayyaf Group; insurgent groups in the Philippines; and separatist insurgents in southern Thailand.	0
States should ensure that implementation of counter-terrorism legislation fully respects human rights.	1
The parties briefed their respective constituencies, including Malian refugees residing in Mauritania and the Niger, on the content of the document.	1
The Committee will remain focused on promoting States' implementation of resolution 1373 (2001) and on taking practical measures designed to enhance the counter-terrorism capacity of States.	0
39. To that end, the Heads of State and Government agree on the need to review the legal texts in force, particularly the Protocol relating to the Mechanism for Conflict Prevention, Management, Resolution, Peacekeeping and Security, and the Supplementary Protocol on Democracy and Good Governance, in order to reflect best practices in respect of presidential terms of office.	1
I would also like to reiterate that the four F-FDTL members convicted of manslaughter in the shooting deaths of eight PNTL officers in 2006, one of whom was pardoned and three of whom received sentence reductions, have yet to pay the court-ordered compensation to the victims' widows.	0
Strongly condemns the recruitment and use of child soldiers by parties to armed conflict in violation of international obligations applicable to them and all other violations and abuses committed against children in armed conflict.	1
A number of contacts led to mere exchanges of views and/or statements of fact.	0
30. The UNMIK community policing initiative has strengthened ties with the local community.	0
Following the informal consultations, on 14 September, the Council unanimously adopted resolution 1560 (2004) presented by the German delegation, by which it extended the mandate of the United Nations Mission in Ethiopia and Eritrea (UNMEE) until 15 March 2005, approved the adjustments to UNMEE (including its presence and operations as recommended by the Secretary-General in his report, paras. 13-18), and requested the Secretary-General to continue to monitor the situation closely and to review the Mission's mandate in the light of progress achieved in the peace process and the changes made to UNMEE.	1
23. One State has pursued counter-radicalization efforts among militant groups and supported the production by these groups of publications countering extremist ideology. These publications, including one that repudiated Al-Qaida, have been distributed internationally, including on Internet sites.	1
The Government and the United Nations country team, with inputs from the World Bank, prepared a booklet on the Goals, outlining where Timor-Leste currently stands and setting out policy implications for achieving targets and indicators.	0
24. Furthermore, the Team proposes that the Committee examine the merits of conditional or provisional de-listing, whereby the Committee could either introduce an extended period of exemption for certain listed Taliban individuals, or even suspend sanctions altogether, under certain preconditions, for so long as it received regular assurances over a fixed period that their listing was no longer appropriate.	1
By December, the Office for Addressing Sexual Exploitation and Abuse will be replaced by the Conduct and Discipline Unit dealing with sexual exploitation and abuse and other forms of misconduct.	0
In order to facilitate due consideration, whenever appropriate, of issues pertaining to the protection of civilians in its deliberations on the establishment, change, or close of peacekeeping operations, the members of the Council suggested that an Aide Memoire listing those issues that are relevant in this regard be drafted in close cooperation with the Council.	1
These recommendations suggest that the Committee: (a) encourage States, prior to proposing a listing, and without prejudice to its right to continue with its submission, to consider contacting the State of residence and/or citizenship of the proposed designee; (b) clarify the procedure to be followed in cases in which innocent persons with a name similar to a listed party mistakenly have their assets frozen by a State; (c) require that States forward petitions for de-listing to the Committee, even if they object to the particular petitions, so the Committee may make the ultimate determination; (d) enlarge the number of States that may submit de-listing petitions; (e) endeavour to reach a decision on de-listing petitions within a defined period, where possible, and notify the petitioning State of the outcome; (f) clarify that de-listing is available, under certain conditions, both for a party that was designated wrongly and for those who renounce terrorism and demonstrate to the Committee's satisfaction that they are no longer associated with Al-Qaida or the Taliban; and (g) permit, under appropriate circumstances, for de-listing of deceased persons (S/2005/572, paras. 28, 31, 55-57 and footnote 26).	1
(a) a Monitoring Group in New York of up to five experts, including a Chairman, to monitor the implementation of all the measures imposed by resolutions 1267 (1999) and 1333 (2000), including in the fields of arms embargoes, counter-terrorism and related legislation and, in view of the link to the purchase of arms and financing of terrorism, money laundering, financial transactions and drug trafficking; and	0
There is no doubt that the structure and development of public administration in Timor-Leste still presents us with significant challenges that must be taken into consideration.	0
Cooperation in the subregion is continuously improving, but should be further strengthened, especially in border areas, in order to bolster controls against possible terrorist incursion and proliferation of transnational crime.	0
5. Major progress was also made in establishing functioning municipal assemblies. On 11 November, more than 800 members of the new assemblies took their oath of office.	0
Support should be provided to the justice sector reform process, in close partnership with the United Nations country team. The establishment and strengthening of accountability mechanisms within the security and defence forces should also be supported.	1
12. In summary, although attacks on civilians by militia did not occur on the massive or systematic scale seen in the months prior to the joint communiqué, these attacks have continued and intensified lately.	0
Supporting the Envoy's call for an immediate and visible implementation by the Syrian government of all elements of the Envoy's six-point proposal in their entirety to achieve a sustained cessation of armed violence in all its forms by all parties,	1
The Programme was relaunched as the Intergovernmental Authority on Development Security Sector Programme in October 2011 and intends to be more active in this area, including through conferences on de-radicalization and community engagement to counter terrorism.	1
Finally, the session underlined the need to be open to the establishment of innovative mechanisms and to work towards the establishment of comprehensive and mutually reinforcing systems linking ICC, any possible future hybrid court and national bodies as well as criminal prosecutions and reparations programmes.	1
Panel discussions, media briefings, publications, reporting to the Security Council, enhanced staff capacity, five regional consultations on gender mainstreaming of the programme of action on illicit small arms and light weapons.	0
The members expressed their willingness to consider, in due time, updated reports on the planning for a smooth transition towards a sustainable development assistance framework by the end of the mandate of UNOTIL in May 2006.	1
The German Government strongly condemns those acts of violence.	0
57. FAO is also providing technical and legal support to the Federal Government of Somalia to facilitate the adoption of a strong legal framework for fisheries, including the establishment of a federal Somali fisheries authority, under the Ministry of Fisheries and Marine Resources.	0
The officer in charge of the crime scene, General Naji Mulaeb of ISF, arrived at the scene at 1305 hours on 14 February 2005. He has issued a report dated 3 March 2005 on the crime scene examination conducted by the Lebanese authorities [General Directorate of Internal Security Forces, Beirut Police Unit, Ref. No. 95] stating the following:	0
25. Requests all Member States, but particularly the Government of Afghanistan, to inform the Committee if they become aware of any information indicating that an individual, group, undertaking or entity that has been delisted should be considered for designation under paragraph 1 of this resolution, and further requests that the Government of Afghanistan provide to the Committee an annual report on the status of reportedly reconciled individuals who have been delisted by the Committee in the previous year;	1
86. States of the subregion should: (a) Review their criminal laws in order to ensure that recruitment to terrorist acts and terrorist groups is sufficiently criminalized;	0
This being said, a number of interventions pointed out the possible role of the Council in this area, which could go beyond the establishment of international reparations programmes to the authorization of the use of assets frozen under sanctions regimes to make reparations as well as the possible support of national reparations programmes.	1
23. In districts and units where the national police have already resumed primary policing responsibilities, the UNMIT police played a crucial role in monitoring and tracking the progress of the national police while remaining available to advise, mentor and provide operational support and maintaining the ability, in extremis, to reassume interim law enforcement, if required.	1
Even though the situation of each refugee and internally displaced person is unique, displacement and statelessness exacerbate existing gender inequalities, amplifying the discrimination and hardship faced by women and girls.	0
The academy will be an important institution to implement the new training syllabus and support the implementation of the road map for the rebuilding of the civilian police force.	1
Information-sharing enhances the proliferation risk-assessment of business opportunities. Therefore, information-sharing is crucial to the interest of all private sector actors and benefits companies with fewer resources such as small- and medium-sized enterprises.	1
73. The Department of Civil Security and Emergency Preparedness was formally established on 9 November through UNMIK regulation No. 2000/61.	0
Said Arif is associated with Al-Qaida or any cell, affiliate, splinter group or derivative thereof for "participating in the financing, planning, facilitating, preparing, or perpetrating of acts or activities by, in conjunction with, under the name of, on behalf of, or in support of" and "recruiting for" Jabhet al-Nusra, an a.k.a. of Al-Nusrah Front for the People of the Levant (QE.A.137.14).	0
9. This was followed by the Mwanza talks of 14 May 2000 between the Presidents of Rwanda and Uganda, who also agreed on demilitarization.	1
The Security Council recalls the obligations of States to respect and to ensure respect for international humanitarian law, including the four Geneva Conventions, and emphasizes their responsibility to end impunity and to prosecute those responsible for genocide, crimes against humanity and serious violations of humanitarian law.	1
Calls upon all parties to fully cooperate with the independent international commission of inquiry put in place by the Human Rights Council [date] to investigate the facts and circumstances surrounding the allegations of serious abuses and violations of human rights committed in [the affected country] ..., and requests the Secretary-General to transmit this report to the Security Council and other relevant international bodies	1
13. Encourages the Government of Burundi to pursue its efforts to broaden the respect and protection of human rights, including through the establishment of an National Independent Human Rights Commission, bearing in mind the Paris Principles outlined in General Assembly resolution 48/134 and further encourages it to end impunity and to take the necessary measures to ensure its citizens fully enjoy their civil, political, social, economic, cultural rights without fear or intimidation, as enshrined in the Constitution of Burundi and provided for by international human rights instruments, including those ratified by Burundi;	1
49. Confirms that no matter should be left pending before the Committee for a period longer than six months, unless the Committee determines on a case-by-case basis that extraordinary circumstances require additional time for consideration, in accordance with the Committee's guidelines;	1
The Council considers the possibility, of using the International Fact- Finding Commission established in accordance with Article 90 of the First Additional Protocol to the Geneva Conventions.	1
(i) Facilitating research in those areas of the three resolutions that require further examination, including the analysis of terrorism-related trends and methodologies in global and regional settings and the analysis of counter-terrorism measures;	0
271. The Commission found that while all parties involved in the conflict have committed crimes against the civilian population, the Government of the Sudan and the Janjaweed bear responsibility for an overwhelming majority of the murders of civilians committed during the conflict in Darfur.	0
Urges the signatories of the [peace agreement] to work towards a sustainable solution for the voluntary return, reinstallation, reintegration and security of displaced persons, including by addressing land tenure issues, with the support of the United Nations system, and to fulfil in this regard their commitments in accordance with the ... Political Agreement and their obligations under international law.	1
Urging [the affected State] to undertake, in coordination with the international community, a comprehensive reform of the police, judiciary and correctional systems, to protect and promote human rights and fundamental freedoms, and to end impunity.	1
60. Under the overall guidance of the Mission's headquarters, the heads of the regional offices of MONUC are responsible for developing and implementing regional action plans for the prevention of sexual exploitation and abuse in their respective areas.	0
3. Stresses the need for improved coordination and increased exchange of information between the Committee established pursuant to resolution 1267 (1999) (hereinafter referred to as "the Committee") and the Committee established pursuant to resolution 1373 (2001);	1
609. The Commission's recommendation for a Security Council referral to the International Criminal Court is based on the correct assumption that Sudanese courts are unwilling and unable to prosecute the numerous international crimes perpetrated in Darfur since 2003.	1
Sites range from those set up to promote particular individuals, such as Shamil Basayev in Chechnya, or groups, such as Lashkar-E-Tayyiba in Pakistan, to those that aim to justify Al-Qaida-related terrorism in general, such as Voice of Jihad, or offer terrorist training, such as Al-Battar.	0
29. It was also recognized that in the framework of its activities the Committee should continue to raise awareness about the multilateral treaties whose aim is to prevent the proliferation of or eliminate weapons of mass destruction so as to contribute to their universality.	1
32. Welcomes periodic briefings from the Government of Afghanistan on the content of the list, as well as on the impact of targeted sanctions on deterring threats to the peace, stability and security of Afghanistan, and supporting Afghan-led reconciliation;	1
Supporting the Democratic Republic of the Congo's decision to work towards enhancing revenue transparency in its extractive industries,	1
Calls on all actors involved, when negotiating and implementing peace agreements, to adopt a gender perspective, including, inter alia: (a) The special needs of women and girls during repatriation and resettlement and for rehabilitation, reintegration and post-conflict reconstruction; (b) Measures that support local women's peace initiatives and indigenous processes for conflict resolution, and that involve women in all of the implementation mechanisms of the peace agreements; (c) Measures that ensure the protection of and respect for human rights of women and girls, particularly as they relate to the constitution, the electoral system, the police and the judiciary.	1
III. Background 17. The past months have seen the release of various influential reports and recommendations relating to terrorism sanctions, including the Secretary-General's address on the anniversary of the 11 March 2004 terrorist attacks in Madrid and his subsequent report, "In larger freedom: towards development, security and human rights for all" (A/59/2005 and Add.1-3).	1
Since SA-7s were reportedly used to attack Israeli passenger jets in neighbouring Kenya in November 2002, this information warrants concern.	0
The prosecution by the International Criminal Court of persons allegedly responsible for the most serious crimes in Darfur would contribute to the restoration of peace in the region.	0
"The Security Council recognizes the need to prevent and suppress the financing of terrorism and terrorist organizations, including from the proceeds of organized crime, inter alia, the illicit production and trafficking of narcotic drugs and their chemical precursors, and the importance of continued international cooperation towards that aim.	1
While it may be impractical for all contingents to be authorized to conduct targeted offensive operations to neutralize armed groups, urgent measures are required to ensure a more active contribution by the framework brigades to activities in the context of the neutralization of armed groups and the protection of civilians.	0
Also, while victims often expressed lack of confidence in the ability and willingness of the Government to protect them, the police were often cited as an exception to this trend.	0
34. Stresses the importance of consultation and cooperation between the United Nations, the International Committee of the Red Cross and other relevant organisations including regional organisations to improve the protection of civilians in armed conflict;	1
In this regard, the Executive Directorate will continue to match identified priority needs with programmes of current and potential donors and providers in order to enhance the capacity of Member States to counter terrorism and to strengthen the dialogue between the donor community and recipient States.	1
12. Calls upon Member States to move vigorously and decisively to cut the flows of funds and other financial assets and economic resources to individuals and entities on the Al-Qaida Sanctions List, as required by paragraph 1 (a), and taking into account relevant FATF Recommendations and international standards designed to prevent the abuse of non-profit organizations, informal/alternative remittance systems and the physical trans-border movement of currency, while working to mitigate the impact on legitimate activities through these mediums;	1
In this regard, the Security Council encourages the continued mainstreaming of child protection into the advocacy, policies, programmes and mission planning of these organizations and arrangements as well as training of personnel and inclusion of child protection staff in their peacekeeping and field operations and establishment, within their secretariats, of child protection mechanisms, including through the appointment of child protection focal points.	1
The Council calls upon Member States, to increase international and regional cooperation, on the basis of a common and shared responsibility, as well as their cooperation with the United Nations Office on Drugs and crime and the International Narcotic Control Board, in order to counter the illicit production of, demand for and trafficking in drugs, and to identify emerging trends in drug trafficking.	1
In other words, the populations surviving attacks on villages are not killed outright in an effort to eradicate the group; rather, they are forced to abandon their homes and live together in areas selected by the Government.	0
He said that the role of MINUSTAH should be to help Haiti take back responsibility for its security, rather than to perform that task itself indefinitely. He reaffirmed that the resolution provided for a responsible scaling back of the MINUSTAH military component over time, based on a thorough assessment of the security situation.	1
34. The Authority expresses appreciation to the African Union and the United Nations for their assistance in the region's efforts towards a peaceful solution.	1
Many interlocutors claimed that some neighbouring countries played a destabilizing role.	0
Following the consultations, the President of the Council delivered a statement to the press, in which members of the Council called upon the Ivorian authorities and all parties concerned to end impediments to the freedom of movement of the impartial forces and urged all the parties to show responsibility and restraint so that the upcoming electoral campaign is held in a peaceful atmosphere and as scheduled.	1
Colombia, Chile, Paraguay and Peru have also enacted legislation giving their law enforcement authorities special investigative powers.	1
However, in Port-au-Prince, a marked rise in violence and criminality, including kidnappings, generated serious public anxiety in May and June.	0
He replied that war removed the key requirements for the rule of law and one of the particular problems encountered was the absence of magistrates in the face of advancing armies.	0
12. Given a deep mistrust that has prevailed among the Lebanese people towards their security and judicial authorities, the Commission has become a source of great expectation and hope for change, as well as an "interface" between the Lebanese people and their authorities.	1
The limited presence of UNHCR in the camps and among the refugees is another obstacle which the country of asylum has placed in the way of the fulfilment by UNHCR of its mandate.	0
On 14 April 2012, the Security Council adopted resolution 2042 (2012), which noted the Syrian Government's commitment to implement the six-point proposal of the United Nations Special Envoy, Mr. Annan; called for the urgent, comprehensive and immediate implementation of all elements of the proposal; called upon all parties in Syria, including the opposition, immediately to cease all armed violence in all its forms; and expressed its intention to establish immediately, after consultations between the Secretary-General and the Syrian Government, a United Nations supervision mission in Syria to monitor a cessation of armed violence in all its forms by all parties.	0
Third, in many situations, the Security Council has recognized serious violations of human rights and international humanitarian law as possible threats to peace and security.	0
In addition, the Committee will establish a meeting schedule that strives to meet its objectives efficiently and promptly.	1
At the 5059th meeting of the Security Council, held on 19 October 2004, in connection with the Council's consideration of the item entitled "Threat to international peace and security caused by terrorist acts", the President of the Security Council made the following statement on behalf of the Council:	1
43. Experts of the Security Council Committee established pursuant to resolution 1540 (2004) held discussions with the United Nations Interregional Crime and Justice Research Institute, and the United Nations Institute for Disarmament Research on potential programmes and activities in support of the effective implementation of resolution 1540 (2004).	1
I encourage UNOWA, UNOCA, ECOWAS, ECCAS and the Lake Chad Basin Commission to continue to strengthen cooperation to address cross-border security threats.	1
The workshop convened to discuss the Internet at the International Summit on Democracy, Terrorism and Security, held in Madrid from 8 to 11 March 2005, concluded that the Internet should remain free from any further regulation or interference, allowing open debate to defeat the ideas of extremism.	1
(d) Adopt a victim-centric and human rights-based approach to trafficking in persons, including by providing victims with the right to stay in the country and access to legal protection and basic services, such as medical treatment, education and employment opportunities equivalent to those afforded to their own citizens;	1
Welcoming the enhanced cooperation and information sharing between UNAMID and the Panel of Experts facilitated by the Department of Peacekeeping Operations' guidelines and the decision of UNAMID to establish a focal point to facilitate information sharing with the Panel of Experts regarding the arms embargo,	1
27. Decides that when the designating State submits a delisting request, the requirement for States to take the measures described in paragraph 1 of this resolution shall terminate with respect to that individual, group, undertaking or entity after 60 days unless the Committee decides by consensus before the end of that 60 day period that the measures shall remain in place with respect to that individual, group, undertaking or entity; provided that, in cases where consensus does not exist, the Chair shall, on the request of a Committee Member, submit the question of whether to delist that individual, group, undertaking or entity to the Security Council for a decision within a period of 60 days; and provided further that, in the event of such a request, the requirement for States to take the measures described in paragraph 1 of this resolution shall remain in force for that period with respect to that individual, group, undertaking or entity until the question is decided by the Security Council;	0
The Commission received evidence that civilians have been abducted by leaders of this camp and detained within the camp, where they were tortured and used for labour.	0
We seized this opportunity to consider the political and security situation in the Sahelo-Saharan region, as well as the efforts aimed at overcoming the challenges at hand and promoting lasting peace, security and stability.	0
7) Convention for the Suppression of Unlawful Acts against the Safety of Civil Aviation, signed at Montreal on 23 September 1971; ratified on 10 August 1973, came into force in the Czechoslovak Socialist Republic on 9 September 1973 and	0
For example, residents of the Naktuka area of Nitibe subdistrict reported that on 29 May a group of about 20 Indonesian soldiers partially dismantled two structures built by the Government of Timor-Leste in this unresolved area.	0
Consider imposing arms embargoes and other measures aimed at preventing the sale or supply of arms and related materiel of all types to parties to armed conflict that commit violations of applicable international law.	0
Instead, States should establish a clear, complete and consistent legal framework that specifies terrorist acts as serious criminal offences, penalizes such acts according to their seriousness and helps the courts bring terrorists to justice.	1
In particular, consideration should be given to widening the advertising of posts by targeting professional associations and modifying the language requirements for the positions.	1
If the offender has destroyed, damaged, transferred, rendered unserviceable or used, in particular used up or expended, any assets that could be subject to forfeiture under Section 70, paragraphs 1 and 2, or where the offender has otherwise prevented the forfeiture of such assets, the court may order the forfeiture of funds up to the amount corresponding to the value of such assets; the value of assets that could be subject to forfeiture may be estimated by the court.	0
51. I remain firmly committed to the implementation of resolution 1559 (2004) for the sake of regional peace and stability, at a particularly difficult and challenging time.	0
It had sunk in bad weather close to the Somali coast in July 2013 following a mechanical failure and the surviving crew members had since been held onshore by pirates.	0
