en	MatCoop
Turkey has launched the National Unity Project to address the social and economic inequalities in Turkish society that purportedly fuel Kurdish dissent and Kurdish Workers Party (PKK) recruitment.	1
On 21 December, the Council at a public meeting heard a briefing by the Chair of the Committee established pursuant to resolution 1737 (2006) and Permanent Representative of Colombia, Néstor Osorio, on the work of the Committee from 1 September to 18 December 2011.	0
A. Recruitment and use of children by the armed forces and armed groups 14. The Nepal Task Force for Children and Armed Conflict, set up under the terms of Security Council resolution 1612 (2005), monitored the recruitment of children by the Maoist army and affiliated CPN-M organizations during the post-ceasefire recruitment campaign that reached its greatest intensity in November 2006.	0
"The Security Council reiterates its strong condemnation of all violations of applicable international law committed against women and girls, including sexual and gender based violence and killing and maiming, in armed conflict and post-conflict situations and urges the complete cessation by all parties of such acts with immediate effect.	0
The intention to restrict their movement cannot and will not constitute a final solution to the problem.	0
25. The UNTAET period also witnessed the creation of many modern State institutions. These include the National Parliament, the Council of Ministers, local government structures, the police service and the defence force.	1
(a) Continue to enhance its cooperation with international, regional and subregional organizations and develop ways of operating with those organizations on a case-by-case basis, reflecting the variation in each organization's capacity and mandate, including exchanges at the working level, briefings to and from the Committee and enhanced information-sharing arrangements;	1
The opposition used arms purchased at BAM to fight TFG in the battle for control of the strategically important town of Baidoa (Bay region).	0
"The Security Council reiterates that there is no military solution to the conflict in Afghanistan and that only a negotiated political settlement aimed at the establishment of a broad-based, multi-ethnic and fully representative government acceptable to all Afghans can lead to peace and reconciliation.	0
The Chair advised the Council that during the Committee's consultations, the Monitoring Group had presented a brief on its findings regarding the recovery of Somali overseas assets and had discussed the issue of charcoal and weapons interdictions by international maritime forces on the high seas and within the territorial waters of Somalia.	0
In some cases where the Committee found that the information available was not sufficient to make a decision as to whether a listing remained appropriate, it asked the Team to seek more information. This was especially true for cases where an individual was believed to be dead but for whom there was no death certificate or equivalent official documentation.	0
In addition, the recruitment for 19 civilian expert posts within the UNMIT police component in order to further enhance its emphasis on skills building and institutional development is well advanced.	1
(r) Ratify without delay the International Convention for the Protection of All Persons from Enforced Disappearance, the Convention on the Rights of Persons with Disabilities, the Rome Statute of the International Criminal Court and the fundamental conventions of the International Labour Organization;	1
As an expression of the international community's determination to restrict the activities of Al-Qaida, the 1267 regime has played a prominent role in keeping a focus on the need to prevent money flowing to terrorist groups and to restrict the movement of their members.	0
(b) Continue enhancing border security at entry points and along open borders in order to prevent and suppress the movement across borders of terrorist cargo and arms/explosives, as well as currency and bearer negotiable instruments, and implement the international best codes and standards established by specialized agencies such as ICAO, IMO and WCO;	1
64. The conditions and modalities for the orderly return of the many Burundian and Congolese refugees in the United Republic of Tanzania to their countries of origin must be reviewed in order to be able to speed up the return flows observed in recent months.	1
Two of them were wounded, but managed to survive thanks to assistance provided by the Red Cross.	0
This option would have the advantage of harnessing Member States' willingness to commit robust naval assets to address threats arising on land.	1
Coordinated support by UNMIT and the United Nations country team is being provided in all aspects of the implementation of the law, including to the Secretary of State for the Promotion of Equality, who is leading the development of the implementation plan, and to civil society, in order to raise awareness of the law.	1
44. The Committee welcomes the work of the Executive Directorate to continue to cooperate closely with the experts of the Security Council committees established pursuant to resolution 1540 (2004) and to resolutions 1267 (1999) and 1989 (2011), including through the regular exchange of information, the sharing of mission reports and the preparation of joint documents and joint statements by the Chairs of the committees to the Council.	1
The Committee recognizes that non-reporting might be a sign of a general "reporting fatigue" caused by the number of reports that Member States have had to submit to the Committee, the Counter-Terrorism Committee, the Committee established pursuant to resolution 1540 (2004) and other United Nations bodies.	1
The majority of States have anti-money-laundering legislation in place, and four of those States include terrorist financing as a predicate offence.	1
Acknowledging the important role played by regional and subregional arrangements in the prevention of, and response to, situations that may lead to genocide, war crimes and crimes against humanity, especially noting Article 4(h) of the Constitutive Act of the African Union,	1
The Council reiterates its intention to continue forcefully to fight impunity and uphold accountability with appropriate means.	0
Following the second battle for control of Baidoa, Habsade again received logistical support from his allies in Mogadishu.	1
Coastal maritime surveillance systems and communications systems have been, or are in the process of being, supplied to Kenya, Mozambique, Seychelles and the United Republic of Tanzania to provide a shared picture of the maritime domain.	1
4. By its resolution 1521 (2003), the Security Council also established a committee to oversee the implementation of the measures. A panel of experts was also established to provide the Committee with information regarding the implementation of the measures and progress made towards meeting the conditions for the lifting of sanctions.	1
27. The mission will reiterate the Council's readiness to support the efforts of the transitional authorities to combat impunity in the Democratic Republic of the Congo.	0
Criticism of the work of the Council and the Committee in this area risks tainting the entire Al-Qaida/Taliban sanctions regime, and should not undermine the universal support it has so far enjoyed.	0
5. Calls upon all States to continue to take urgent steps to enforce and strengthen through legislative enactments or administrative measures, where appropriate, the measures imposed under domestic laws or regulations against their nationals and other individuals or entities operating in their territory, to prevent and punish violations of the measures referred to in paragraph 1 of this resolution, and to inform the Committee of the adoption of such measures, and invites States to report the results of all related investigations or enforcement actions to the Committee, unless to do so would compromise the investigation or enforcement actions;	0
17. We believe that taken together, the above steps provide the basis for a strategic approach to strengthening the forces for peace in Somalia. Such an approach would complement the measures already taken by the Council to contain the conflict.	1
(b) Prevent the entry into or transit through their territories of these individuals, provided that nothing in this paragraph shall oblige any State to deny entry or require the departure from its territories of its own nationals and this paragraph shall not apply where entry or transit is necessary for the fulfilment of a judicial process or the Committee determines on a case-by-case basis only that entry or transit is justified, including where this directly relates to supporting efforts by the Government of Afghanistan to promote reconciliation;	0
34. In spite of persistent United Nations advocacy, nine children are still detained in Bamako detention centres for alleged association with armed groups, in violation of the protocol on the release, reunification and reintegration of children associated with armed forces or groups in Mali signed on 1 July 2013 by the Government.	0
Such precautions, laid down in customary international law, are as follows: a belligerent must (a) do everything feasible to verify that the objectives to be attacked are not civilian in character; (b) take all feasible precautions in the choice of means and methods of combat with a view to avoiding or at least minimizing incidental injury to civilians or civilian objects; (c) refrain from launching attacks which may be expected to cause incidental loss of civilian life or injury to civilians or civilian objects which would be excessive in relation to the concrete and direct military advantage anticipated; (d) give effective advance warning of attacks which may affect the civilian population, except in cases of assault (as provided for in article 26 of the Hague Regulations of 1907) or, as provided for in article 57(2)(C), unless circumstances do not permit -- namely when a surprise attack is deemed indispensable by a belligerent.	1
Gender mainstreamed in coordinated responses to prevent and respond to armed conflict and humanitarian emergencies.	1
The Security Council reiterates the need for stronger focus by all parties concerned, including Governments and the donor community, on the long-term effects of armed conflict on children and the impediments to their full rehabilitation and reintegration into their families and communities, through, inter alia, addressing the need for providing appropriate health care, enhancing their exchange of information about programmes and best practices, and ensuring the availability of adequate resources, funding and technical assistance to support national strategies or action plans in the area of child protection and welfare, and community-based programmes, bearing in mind the `Paris principles to protect children from unlawful recruitment by armed forces or groups', with a view to ensuring the long-term sustainability and success of their programmatic response to the release, rehabilitation and reintegration of all children associated with armed forces and armed groups.	0
36. In Gambia, opposition groups protested against State authorities over the lack of accountability for alleged human rights abuses. On 4 November, the former Chief of Defence Staff, General Lang Tamba, and six co-accused individuals filed an appeal in the Supreme Court against their death sentence for conspiracy and treason, which had been handed down by the High Court in July 2010 and upheld by the Appeal Court in October 2012.	0
Of the 12 Security Council sanctions regimes, 5 include listing criteria related to violations of international human rights law and international humanitarian law, and in particular involving violations of the rights of children and women in conflict situations.	1
Consider the referral of situations involving genocide, crimes against humanity or war crimes to the International Criminal Court.	0
5. Further, it is respectfully submitted that there are other, quicker and simpler methods which will ensure that the victims of criminal acts in Rwanda receive just compensation.	1
The Security Council reaffirms the principle of non-refoulement of refugees, as provided for in relevant instruments of international law, welcomes recent efforts of countries neighbouring [the affected State] to support the voluntary repatriation of refugees in safety and dignity, and urges those host States to continue to provide international protection to [those] refugees in need of it. It encourages the international community to provide the necessary assistance in this regard.	0
69. The Group did examine the landing of an AN-124 aircraft carrying a 392-ton cargo from Belarus on 16 October 2004, just prior to the embargo. This flight continued to Lomé, Togo and was linked to the Darkwood company (see case study one below).	1
o On 7 November 2014, regime forces dropped an explosive cylinder on Walid Hospital in the Al Waer neighbourhood of Homs, greatly damaging the hospital.	0
229. The Commission recommends the establishment of robust and independent police and military oversight mechanisms.	0
3. On 27 December 2007, supporters of Sergeant Ibrahim Coulibaly, alias IB, who was formerly a member of the Forces nouvelles, were accused of attacking Forces nouvelles personnel in Bouaké. The attack resulted in several deaths, as well as in the arrest of a number of individuals.	0
"The Security Council continues to be gravely concerned by the threat that piracy and armed robbery at sea pose to international navigation, the safety of commercial maritime routes, and the security and economic development of States in the regions concerned, as well as to the safety and welfare of seafarers and other persons, including through their being taken as hostages, and the increasing violence employed by pirates and persons involved in piracy and armed robbery at sea. The Security Council condemns in the strongest terms hostage taking and the use of violence against hostages, and calls upon States to also cooperate, as appropriate, to secure the early release of hostages, including through sharing of information and intelligence.	0
4. Calls upon States to move vigorously and decisively to cut the flows of funds and other financial assets and economic resources to individuals and entities associated with the Al-Qaida organization, Usama bin Laden and/or the Taliban, taking into account, as appropriate, international codes and standards for combating the financing of terrorism, including those designed to prevent the abuse of non-profit organizations and informal/alternative remittance systems;	0
The presence of the guard force is crucial for maintaining an atmosphere of security in order to prevent the bribery of witnesses and enable them to access the Court's facilities without fear.	1
- Permitting a number of Yugoslav and Serb military and police personnel to return to Kosovo and Metohija (para. 4, paras. 6 and 10 of annex 2, and para. 4 of the Military Technical Agreement).	1
According to Australian official sources, training includes bomb-making and suicide bombing techniques.	0
:: Office for the Coordination of Humanitarian Affairs, "To stay and deliver: good practice for humanitarians in complex security environments" (2011). This report sets out the increasingly difficult operating environment for humanitarian workers, recommendations on policy responses and references to relevant legal documents.	1
Investment and integration will depend not only on status, but also on a predictable and stable Kosovo, where the rule of law is respected.	1
57. In addition, the International Civil Aviation Organization and the International Maritime Organization, as well as non-governmental industry associations such as the International Air Transport Association, have set out and regularly updated standards for the conduct of their members and for the transport of dangerous cargoes, including consignments of ammunition and explosives.	1
The Unit participates in multi-agency task forces set up to investigate money-laundering and predicate crimes, including the financing of terrorism.	1
Decides that [the mission] shall have the following mandate in this order of priority: Protection of civilians (g) Support the Government's efforts, along with international partners and neighbouring countries, to create an environment conducive to the voluntary, safe and dignified return of internally displaced persons and refugees, or voluntary local integration or resettlement.	1
All remains have been transferred to the military base in Hilversum where the identification process is being carried out.	1
17. Despite the disarmament of 15,600 former combatants in Ituri, the National Commission for Demobilization and Reinsertion continues to face difficulties in discharging its responsibilities, in particular the payment of demobilization allowances to ex-combatants, which has led to increased discontent among them. The allowances need to be urgently and regularly paid.	1
58. The FN provides combatants daily to secure the area around the diamond pits.	1
Condemning all attacks against United Nations peacekeepers and humanitarian personnel, regardless of their perpetrators, and emphasizing that those responsible for such attacks must be brought to justice.	0
Special police units supported UNMIK customs and provided support to UNMIK police special operations teams.	1
Upon the Committee's approval, the Executive Directorate led in September 2008 a joint Committee/Counter-Terrorism Implementation Task Force mission to Madagascar.	1
There may have been fewer major operations than Al-Qaida leaders would have liked, but the arrest or death of suspected Al-Qaida-related terrorists in more than 40 countries around the world since the Team last reported in November 2006 (S/2007/132) suggests a high volume of terrorist planning.	0
The Committee welcomes the activities of the Counter-Terrorism Committee Executive Directorate in this area, and encourages the Executive Directorate to further develop them, within the guidance of the Committee, by deepening its analytical framework, including through participation by the Executive Directorate in the Counter-Terrorism Implementation Task Force working group on protecting human rights while countering terrorism.	0
States have made good progress in establishing anti-money-laundering/counter-terrorist financing regimes, but greater regional cooperation at the operational level is required.	1
4. Terrorism remains a serious threat to peace and security across Africa. It is a driving factor in an increasing number of conflict situations.	0
Since January, 444 FDLR combatants demobilized, including 259 Rwandans and 185 Congolese.	1
These troops are lightly armed, have poor land mobility, no air capacity and receive minimal logistical and financial support.	0
23. During recent field visits to refugee camps, sites for the internally displaced and nearby villages, MINURCAT registered fewer reports of human rights abuses.	1
"The Security Council reaffirms the obligation of all Member States to settle disputes and resolve conflicts in accordance with the United Nations Charter, and calls upon the international community to assist, as appropriate, the efforts initiated by regional and subregional organizations aimed at the peaceful settlement of disputes and the prevention and resolution of conflicts in accordance with the Charter of the United Nations and relevant Security Council resolutions.	0
34. The presence of Palestinian armed groups outside the camps continues to challenge the ability of Lebanon to exercise full sovereignty over its territory.	0
In view of the urgency of the investigation, we sent telegram No. 2065 dated 14 February 2005 to the leadership of the regional police unit and to police unit commanders in which we asked that all the necessary investigations should be carried out within the remit of each unit with respect to the corpses that had been taken to the hospitals in each area, in order to permit their relatives to identify them and duly inform me, thereby enabling me to gain the approval of the relevant authorities for the return to their relatives of those corpses.	1
The European arrest warrant of the European Union provides an effective alternative to traditional extradition, allowing for direct contact and empowering the judicial authorities.	1
324. The Commission and its team witnessed ample evidence of the displacement and conducted a great number of interviews with both internally displaced persons in Darfur and refugees in Chad.	1
36. The Council encourages the Burundi authorities to work with the Special Representative of the Secretary-General to put in place a mechanism for ending impunity and promoting reconciliation.	1
All States have taken steps to regulate the production, sale and transfer of arms and explosives, although only four have fully implemented such measures.	1
13. Global patterns of supply of small arms and light weapons have profoundly changed over the past few decades.	0
In practice, both Commissions made findings as to real property rights for the purpose of restitution rather than awarding compensation, in line with the political will of privileging the return of the persons who had been displaced as a result of ethnic discrimination and hostilities to their places of origin over other durable solutions.	1
All States have enacted laws to control the manufacture, possession, acquisition, sale, transfer, transport and supply of small arms and ammunition, but these laws do not include clear provisions on arms brokering, transit of weapons or Security Council arms embargoes.	1
The armed officers replied that "they were all the same anyhow", and started to vandalize the house.	0
26. In addition to its reports on its trips, the Team submitted some 15 papers in response to requests from the Committee. These covered issues such as Member States' reporting strategies; listed individuals believed to have died; exemptions to the travel ban; cooperation with INTERPOL; humanitarian exemptions; possible cases of non-compliance; the views of the private financial sector towards the sanctions regime; the checklist; working with international and regional organizations; the use of the Internet for terrorist purposes; and a table of Member State experiences in implementing the sanctions.	0
95. Establishment of the Interpol-United Nations Security Council special notices required extraordinarily close cooperation between the two organizations over the past year, as well as the agreement of the Interpol General Assembly and the 1267 (1999) Committee.	1
Welcoming the adoption by the General Assembly of the United Nations Global Counter-Terrorism Strategy (A/60/288) of 8 September 2006 and the creation of the Counter-Terrorism Implementation Task Force (CTITF) to ensure overall coordination and coherence in the counter-terrorism efforts of the United Nations system,	1
As with the question of the links between drug trafficking and terrorism, the issue of piracy came on to the Council's agenda through conflict situations already there, with African situations -- notably Somalia and the Gulf of Guinea -- figuring prominently.	0
Two suspects in the attack are in custody in the prison built under the Maritime Crime Programme of UNODC.	0
Calls for full respect for human rights and fundamental freedoms and international humanitarian law throughout [the affected country], notes with concern the restrictions on freedom of media, and attacks against journalists.	0
This has increased the potential for employing arms embargoes as part of an effective strategy for post-conflict peacebuilding.	0
Use a participatory assessment approach to ensure that returnee and IDP women and girls influence the establishment and contents of reintegration strategies and programmes; refine gender-sensitive reintegration benchmarks on issues such as constitution reform and electoral processes; disaggregate indicators by sex.	0
Since SA-7s were reportedly used to attack Israeli passenger jets in neighbouring Kenya in November 2002, this information warrants concern.	0
I welcome efforts by States to ensure that suspects are given a fair trial and that their conditions of imprisonment are humane and secure, in accordance with international human rights standards.	1
60. Under the overall guidance of the Mission's headquarters, the heads of the regional offices of MONUC are responsible for developing and implementing regional action plans for the prevention of sexual exploitation and abuse in their respective areas.	1
Document best practices on thematic issues and functional areas; desk-based reviews and workshops on best practices; establish an electronic learning and information-sharing network among gender advisers.	1
In order to determine whether the time has come to launch this process, a broad assessment of the situation in Kosovo must be made -- going much beyond the implementation of standards.	0
(b) Continue to be alert to the development of the most recent techniques, in order to prevent misuse and to detect cases of terrorism financing through new payment methods; develop appropriate laws and regulations and enhance international cooperation in investigating and prosecuting suspicion of misuse of new payment methods for the purpose of terrorist financing;	1
"The Security Council welcomes the continuing important efforts of the African Union and sub-regional organizations, consistent with Security Council resolutions and decisions, to settle conflicts, promote human rights, democracy, rule of law, and constitutional order in Africa,	0
The requisite subjective element (awareness of the systematic nature of the forced displacement) would be inherent in the fact that such displacement clearly amounted to a Government policy consistently pursued by the relevant Government authorities and the Janjaweed.	0
In their public statements, Colonel Al-Qadhafi and members of his family have continued to threaten citizens with a civil war and the possibility of mass killing if the protests continue.	0
90. Also on 8 May 2006 Minister of the Interior Lobato ordered the Commander of UPF, Antonio da Cruz, to deliver 15 HK33 semi-automatic assault rifles to his residence. These weapons were among the 180 HK33 firearms distributed legally to UPF.	0
It urges the international community to ensure adequate and timely funding in response to humanitarian need across crises so as to provide sufficient humanitarian assistance in alleviating the suffering of civilian populations, in particular those in areas affected by armed conflict or emerging from a situation of conflict.	0
Propaganda is further used by the Democratic People's Republic of Korea to incite nationalistic hatred towards official enemies of the State, including Japan, the United States of America and the Republic of Korea, and their nationals.	0
"The Security Council urges the Governments of the Democratic Republic of the Congo and Rwanda to respond without further delay to MONUC's efforts taken under its current mandate to establish, as soon as possible, a joint verification mechanism for their common security, including verification of cross-border movements.	0
Another participant reiterated that due regard should be given to Member States directly involved in or specifically affected by conflict by giving them an opportunity to make an official statement.	0
Very few States have comprehensively updated their legal framework to include specific counter-terrorism laws.	1
The notions of planning, ordering, instigating, aiding and abetting a crime are discussed below.	0
Also as part of the summit, the Council would seek to deepen coordination with other multilateral bodies working in this field, such as the Counter-terrorism Implementation Task Force and its 31 entities, the United Nations Counter-terrorism Centre, the United Nation Office on Drugs and Crime and the International Criminal Police Organization (INTERPOL).	1
13. Regarding the Monitoring Team's recommendation on the payment of ransom to listed entities (para. 60), the Committee would like to refer to paragraph 5 of resolution 1904 (2009), in which the Council confirmed that the requirements set out in paragraph 1 (a) of the same resolution also apply to the payment of ransoms to individuals, groups, undertakings or entities on the Consolidated List.	1
There have been reports that Red Cross personnel and cars were seen at the scene of the events and in some cases were involved in assisting the wounded.	1
Following the consultations, the President of the Council delivered a statement to the press, in which members of the Council called upon the Ivorian authorities and all parties concerned to end impediments to the freedom of movement of the impartial forces and urged all the parties to show responsibility and restraint so that the upcoming electoral campaign is held in a peaceful atmosphere and as scheduled.	0
The United Nations was examining how best to strengthen the counter-terrorism capabilities of United Nations special political missions, peacekeeping operations and United Nations country teams.	0
(a) Ensure that customs officers have the necessary practical measures and resources in place to detect and prevent the cross-border movement of currency and bearer negotiable instruments and to detect and prevent the smuggling of arms and weapons;	1
According to reports, the United Nations arms embargo continues to be violated, and the inflow of weapons into the country has increased.	0
392. On the basis of the information available to the Commission, it would appear that the looting carried out mainly by the Janjaweed in the context of attacks against villages has been conducted on a large scale and has been condoned by the Government of the Sudan through the propagation of a culture of impunity and the direct support of the Janjaweed.	0
102. The Commission found that, when faced with the rebellion in Darfur launched by two rebel movements early in 2003, the Government called on a number of Arab tribes to assist in the fight.	0
We called on our people to join PDF. They responded by joining, and started taking orders from the Government as part of the state military apparatus".	0
17. Over 8,000 fatalities were recorded in Afghanistan in incidents involving insurgents throughout 2007 (A/62/722-S/2008/159, para. 17), compared to 6,000 killed in all kinds of violence in 2006.	0
The Counter-Terrorism Committee, established pursuant to Council resolution 1373 (2001), had been playing a key role in this regard.	0
The Committee continues to monitor and assess the changing nature of the threat posed by Al-Qaida and its associates to international peace and security and to adapt its operational approach accordingly in order to provide effective and efficient responses to these threats.	1
For example, in 2009, Bhutan established an elite special forces unit in its police department to tackle terrorism.	1
Thereafter, those officers remained under his command and were armed with Steyr weapons.	0
Urge relevant regional and/or subregional bodies to develop and implement policies, activities, and advocacy for the benefit of civilians affected by sexual violence.	1
Dismantling and disarming of all armed groups, including the so-called parallel forces, with due consideration to the possible integration of members of these forces into regular security structures of the State predicated on their retraining and their full adherence to applicable international human rights and international humanitarian law;	1
However, many have only begun to develop dedicated counter-terrorism capacities.	1
651. The Commission also recommends that measures designed to break the cycle of impunity include the exercise by other States of universal jurisdiction, as outlined elsewhere in the present report.	0
At the 5798th meeting of the Security Council, held on 11 December 2007, in connection with the Council's consideration of the item entitled "Threats to international peace and security caused by terrorist acts", the President of the Security Council made the following statement on behalf of the Council:	0
The mission visited some of these areas and was pained at the sight of homes razed, cars burned and people left destitute.	0
11. The listing criteria for the Taliban sanctions regime are set out in paragraphs 2 and 3 of resolution 2160 (2014) and pertain to association with the Taliban in constituting a threat to the peace, stability and security of Afghanistan.	0
