en	VerConf
No State has reviewed its non-profit sector or conducted a risk assessment for terrorist financing.	1
Collaborate in the development and implementation of gender-sensitive HIV/AIDS policy in such areas as training, codes of conduct, HIV testing, civilian and military cooperation, resource information and best practice materials; integrate an HIV/AIDS policy within DPKO and strengthen capacities of peacekeeping operations (including future peacekeepers) to address HIV/AIDS.	0
As it may be recalled, the Government of Eritrea had urged the Security Council, through its letter of 28 February 2012 (S/2012/126), to shoulder its responsibilities and take appropriate measures against the myriad and unlawful acts of aggression and occupation.	1
The Council condemns all other violations of international law, including international humanitarian law, human rights law and refugee law, committed against children in situations of armed conflict.	1
The Security Council should recognize countering violent extremism as an essential element of the international community's response to this threat.	1
During the conflict, more than 2 million persons have died and 4.5 million persons have been forcibly displaced from their homes.	0
United Nations peace operations have adjusted their posture accordingly and show an increasing tendency to "bunker up and hunker down", constraining the ability of both uniformed personnel and civilian staff to engage with the local population, win hearts and minds, mediate local disputes, and gather information -- work critical to the implementation of peace agreements and the effort to resolve conflict.	1
The leaders of the Provisional Institutions of Self-Government frequently shirk their obligations under resolution 1244 (1999) and the Constitutional Framework.	1
Clear direction of the work of the Committee and its Executive Directorate requires plainly articulated policy guidance in all key areas of the Committee's mandate.	1
In their public statements, Colonel Al-Qadhafi and members of his family have continued to threaten citizens with a civil war and the possibility of mass killing if the protests continue.	1
At the same time, Cuba condemns suicide bomb attacks and other acts against Israeli civilians, who are innocent victims of the spiral of violence provoked by their Government's policy. We also object to the manipulation of such isolated acts in order to question the Palestinian people's legitimate exercise of self-defence and to justify activities, whether large-scale or selective, against the Palestinian population.	1
I also take this opportunity to underline my concerns regarding challenges in the context of Federal and gubernatorial elections to be held in Nigeria in February 2015, and the serious risks of violence that might occur either because of Boko Haram attacks or because of contestation of the election results.	1
The Monitoring Group noted that during this time, the opposition had purchased a number of anti-aircraft weapons and ammunition from BAM.	0
Most States have limited capacity to freeze funds and assets without delay, and no State implements adequate measures to protect nonprofit organizations from terrorist financing.	1
The Sudan does not target the United Nations. It is a faithful Member of the Organization that abides by the provisions of the Charter of the United Nations and appreciates its efforts to achieve security and stability and promote development in the Sudan. In addition, the Sudan assiduously strives to develop that relationship in accordance with the Charter and the relevant General Assembly and Security Council resolutions.	0
As the Prosecutor, I will deal with any judicial challenge brought by President Al-Bashir and other suspects in court.	1
ICAO and IATA have agreed to highlight the work of the 1267 Committee and to raise awareness of the Consolidated List among their members. F. INTERPOL	0
53. Integrated plans are being implemented to support the mandated withdrawal of the Mission's military and civilian components between 15 October and 31 December 2010.	0
In that case, the problem arises of whether the participants in the group other than the one who committed the crime, which had not been previously planned or envisaged, also bear criminal responsibility for such crime.	0
The Mission has re-evaluated its operational commitments in the light of the limited reinforcements authorized under the resolution.	0
There is no doubt today that the true intention was to prevent the details of his mindlessly destructive actions under CIA orders from becoming public.	1
The Council reminds States that they must ensure that any measures taken to combat terrorism comply with all their obligations under international law, in particular international human rights, refugee and humanitarian law.	0
We are also concerned by the resurgence of cholera cases, although the mortality rate seems to be slowly diminishing.	1
To date there has been no improvement in administrative reform at the national level.	1
What everyone needs to do is to reject the extremist voices thatwho find comfort in the old ways and thatwho believe that it is impossible for Serbs and Albanians to normalize their relations by reaching an historic compromise.	1
That the request by the Government of Kuwait concerning the real property claim in relation to a deceased detainee not be accepted on the grounds that this issue constitutes in fact a request for late filing of the real property portion of the claim outside the filing period for acceptance, and to request the secretariat to inform the Government of Kuwait accordingly.	1
I cannot stress strongly enough the risk posed by the lack of military helicopters to the operational effectiveness of the force.	1
60. Decides, in order to assist the Committee in fulfilling its mandate, as well as to support the Ombudsperson, to extend the mandate of the current New York-based Monitoring Team and its members, established pursuant to paragraph 7 of resolution 1526 (2004), for a further period of thirty months, under the direction of the Committee with the responsibilities outlined in annex I, and requests the Secretary-General to make the necessary arrangements to this effect;	0
It orders the Commission to examine the funding of ECOWAS activities with the view of ensuring that adequate resources are made available to the institutions.	1
An analysis of the threat posed by terrorist groups on the African continent gives rise to great concern; rightly or wrongly, it confounds political, religious and ideological extremism with organized crime.	1
Law no. 535/2004 on the prevention and fighting against terrorism was promulgated by the President of Romania with the Decree no. 994/2004 of 24 November 2004, and entered into force three days later.	0
o On 29 November 2014, regime warplanes launched 2 missiles on Nawawi Mosque in Raqqa city, killing 11 people, including a child, and injuring 16 others.	0
"The Security Council calls upon the Somali parties to build on the progress achieved and swiftly conclude the Somali National Reconciliation Conference with a durable and inclusive solution to the conflict in Somalia by establishing a viable transitional government.	0
Endorsing the work already carried out by the Committee established pursuant to resolution 1540 (2004), hereafter the 1540 Committee, in accordance with its fifth Programme of Work,	0
14. Invites the Secretary-General to bring to its attention situations where refugees and internally displaced persons are vulnerable to the threat of harassment or where their camps are vulnerable to infiltration by armed elements and where such situations may constitute a threat to international peace and security, expresses, in this regard, its willingness to consider such situations and, where necessary, adopt appropriate steps to help create a secure environment for civilians endangered by conflicts, including by providing support to States concerned in this regard, and recalls, in this regard, its resolution 1208 (1998) of 19 November 1998;	0
Respect for the rights of the other - including political opponents - has to become the key test for all those who aspire to lead the country towards stability, unity and prosperity.	0
The Government of the Syrian Arab Republic would like to express its appreciation for the efforts by the Department of Peacekeeping Operations and of UNDOF officials in the occupied Syrian Golan to maintain security and peace in the Force's area of operations, in accordance with its mandate. Since the Force was established in 1974, Syria has consistently supported and facilitated its work and respected its mandate. It has also maintained close ties with officials of UNDOF, the United Nations Truce Supervision Organization and the Department of Peacekeeping Operations. In his previous reports, the Secretary-General has always expressed his appreciation for Syria's cooperation, its assiduous efforts to ensure the safety of UNDOF troops and its respect for the Force's mandate.	0
Pristina has thus far rejected every initiative in that regard.	1
Disarmament and arrest of the perpetrators of these brutal acts is the single most important demand of the Council and the clearest case of failure by the Government to live up to its responsibilities.	1
"The Security Council continues to be gravely concerned by the threat that piracy and armed robbery at sea pose to international navigation, the safety of commercial maritime routes, and the security and economic development of States in the regions concerned, as well as to the safety and welfare of seafarers and other persons, including through their being taken as hostages, and the increasing violence employed by pirates and persons involved in piracy and armed robbery at sea. The Security Council condemns in the strongest terms hostage taking and the use of violence against hostages, and calls upon States to also cooperate, as appropriate, to secure the early release of hostages, including through sharing of information and intelligence.	1
In this climate of widespread insecurity, freedom of opinion of political parties is threatened or restricted.	1
Reaffirming that acts of terrorism must not be allowed to disrupt Iraq's political and economic transition, and further reaffirming the obligations of Member States under resolution 1618 (2005) of 4 August 2005 and other relevant resolutions and international conventions with respect, inter alia, to terrorist activities in and from Iraq or against its citizens,	1
271. The Commission found that while all parties involved in the conflict have committed crimes against the civilian population, the Government of the Sudan and the Janjaweed bear responsibility for an overwhelming majority of the murders of civilians committed during the conflict in Darfur.	1
The Security Council recognizes the Peacebuilding Commission, in its area of competence, as a forum for coordination in the area of post-conflict between the United Nations system and regional and subregional organizations, in accordance with its resolution 1645 (2005) and General Assembly resolution 60/180.	0
(d) The armed confrontation between F-FDTL soldiers and PNTL officers at the PNTL headquarters on 25 May which resulted in numerous injuries and the death of one F-FDTL soldier, Bure.	1
"The Security Council reiterates that the increasing threat posed by foreign terrorist fighters is part of the emerging issues, trends and developments related to resolutions 1373 (2001) and 1624 (2005), and encourages the Counter-Terrorism Committee to hold Special Meetings in 2015 with the participation of Member States and relevant international and regional organizations to discuss ways to stem the flow of foreign terrorist fighters, and to prevent terrorists from exploiting the Internet and social media to recruit and incite terrorist acts, while respecting human rights and fundamental freedoms, and in compliance with other obligations under international law; and in this regard notes the importance of the Committee holding meetings in affected regions on issues related to the mandate of the Committee.	1
Special measures to protect women and girls from gender based discrimination and violence, rape and other forms of sexual violence (access to legal redress; crisis centres; shelters; health care; counselling and other assistance programs; monitoring and reporting mechanisms).	0
143. Second, the Government and the rebel leaders must emphasize efforts to prevent excesses, to protect people at risk and to bringing to justice those responsible for excesses.	0
The concept note outlines the way forward for the Somali joint needs assessment and includes substantial participation by Somalis in the exercise, as both government and zonal counterparts and international experts from the Somali diaspora.	0
601. It is therefore proposed that an international compensation commission be established, consisting of 15 members, 10 appointed by the Secretary-General and 5 appointed by an independent Sudanese body.	0
She heard other girls screaming and thought that they were also being raped.	0
We consider any deviation from that principle unacceptable lest the fragile situation in the province descend into widespread destabilization.	1
Generally speaking the policy of attacking, killing and forcibly displacing members of some tribes does not evince a specific intent to annihilate, in whole or in part, a group distinguished on racial, ethnic, national or religious grounds.	1
Acknowledges the cooperative policy of neighbouring States, including [list of relevant States] in keeping their borders open for refugees ... and encourages these States to continue this policy and contribute to a stabilization of the situation wherever possible;	0
During our prior discussions, Belgium had shared the concern expressed by the Secretary-General about the danger that violence in Iraq poses to a society, institutions and a political process that remain fragile.	1
However, in Port-au-Prince, a marked rise in violence and criminality, including kidnappings, generated serious public anxiety in May and June.	0
In that connection, we think that destructive action aimed at obtaining unilateral political benefits should be categorically condemned.	1
32. Welcomes periodic briefings from the Government of Afghanistan on the content of the list, as well as on the impact of targeted sanctions on deterring threats to the peace, stability and security of Afghanistan, and supporting Afghan-led reconciliation;	0
18. In Beni, the local authorities and civil society have called for the more active involvement of the MONUSCO Force in military operations against ADF, including through conducting unilateral operations.	0
Secondly, Mr. Covic expressed concern over the quality of democracy in a place where the minority -- the Kosovo Serbs -- risks being outvoted. I would say that I find that the most important aspect of democracy is indeed that one participates, exercises the rights of a democracy and votes.	1
It is important to recall, however, that beyond those confidence-building measures, the Ivorian Government remains responsible for the safety and security of its citizens. On 6 September, in Abidjan, the Minister of Territorial Administration, Issa Diakite, was attacked by a group of Young Patriots.	0
"The Security Council reiterates its grave concern about Islamic State in Iraq and the Levant (ISIL), Al Nusrah Front (ANF) and other terrorist entities associated with Al-Qaida and the negative impact of their presence, violent extremist ideology, and actions on the stability of Iraq, Syria and the region, including the devastating humanitarian impact on the civilian populations which has led to the displacement of millions of people, and about their acts of violence that foment sectarian tensions.	1
The conflict has lasted more than half a century and cannot be addressed overnight.	0
It outlines issues of concern and concludes with the urging of Somali women that the international community raise issues of gender, including with Somali leaders.	1
Perpetrators of terrorist acts have been arrested and subsequently brought to justice in a number of jurisdictions.	0
216. Building on the findings of the Commission and Lebanese investigations to date and on the basis of the material and documentary evidence collected and the leads pursued until now, there is converging evidence pointing at both Lebanese and Syrian involvement in this terrorist act.	1
Statements such as "the Palestinian people do not love their children" or "the Palestinian people send their children to die because of their hatred of Israel" are statements that are full of racism and that reflect a kind of attitude that should be rejected out of hand -- and I am trying to do that now.	1
21. The Congolese Government has indicated that it will stand firm on the 2 January 2015 deadline.	1
For example, Europe has the European Union (EU) and the Schengen Agreement; Africa, the Economic Community of West African States (ECOWAS) and the Southern African Development Community (SADC); Asia, the Association of Southeast Asian Nations (ASEAN) and the Commonwealth of Independent States (CIS); North America, the North American Free Trade Agreement (NAFTA); Central America, the Central American Integration System (SICA); and South America, both the Andean Community and the Common Market of the South (MERCOSUR), which are moving towards a merger to create the South American Community of Nations.	0
Reiterating deep concern that, despite its repeated condemnation of violence against women and children including all forms of sexual violence in situations of armed conflict, and despite its calls addressed to all parties to armed conflict for the cessation of such acts with immediate effect, such acts continue to occur, and in some situations have become systematic or widespread.	1
Promoting security and stability remains a vital challenge.	1
C. Legal challenges to the sanctions 50. The Team is aware of 15 lawsuits filed around the world challenging Member States' implementation of some aspect of the United Nations Al-Qaida/Taliban sanctions.	0
It has been also reported that 18 women were raped during the attack on Adwa, Southern Darfur, at the beginning of December 2004.	0
Matters relating to crimes against humanity were assessed on the basis of definitions set out by customary international criminal law and in the Rome Statute of the International Criminal Court.	0
It is clear that all of the institutions of law and order in Iraq face severe challenges.	1
The UNOCI military component will continue to implement its new concept of operations, work with the Licorne force to assist the parties in implementing the Facilitator's proposals for the reintegration of Forces nouvelles personnel in the national police and the army and prepare contingency plans for possible stabilization interventions to prevent acts of violence aimed at disrupting the peace process.	0
"The Security Council stresses the importance of achieving durable solutions for refugees and internally displaced persons, in particular their voluntary, safe and dignified return, or local integration or resettlement.	0
29. In the meantime, the efforts of the UNOCI police component to advise the Government of National Reconciliation on the restructuring of the Ivorian Defence and Security Forces and assist in the restoration of a civilian policing presence throughout the country have been hampered by the uncooperative attitude of the local authorities, the absence of a comprehensive reform plan for the Ivorian Defence and Security Forces and the lack of agreement between the Ivorian parties on the deployment of Ivorian police and gendarmerie officers to the north.	1
States should refrain from inhibiting humanitarian actors in their efforts to engage non-State armed groups for humanitarian purposes, including undertaking activities aimed at promoting respect for international humanitarian law.	1
During the reporting period, the composition of the joint observation and verification team in Gao was adjusted to include all armed group members of the Coordination and the Platform, as well as representatives from Algeria, Chad, Mauritania and the Niger. From 19 to 22 November, the Gao team conducted a fact-finding mission in Didi, on both sides of the Niger River.	0
He firmly reiterated his personal condemnation of the incident, which he said was sending very undesirable and wrong signals ahead of the 2012 elections, and which could potentially negate and derail the national gains made in terms of rebranding the country's image, peacebuilding and peace consolidation, which were so painstakingly achieved with the help of our development partners and the international community.	1
Decides hereby to establish an international tribunal for the sole purpose of prosecuting persons responsible for serious violations of international humanitarian law committed in the territory of [the affected State] between [dates].	0
Areas of assessment 25. All visited States have introduced legislation giving their judicial, prosecutorial and law enforcement authorities the competences needed to counter terrorism.	0
Such criminal activities seem to have a ripple effect by feeding terrorism in Africa and criminal activities which prosper in other regions of the world.	1
In exchange, the Belgrade authorities need to put an end to their tactic of obstruction, which prevents Kosovo Serbs from participating in the public institutions of Kosovo. The "vacant chair policy" entails major risks that the history of Kosovo will be written without the Kosovo Serbs.	1
(h) To provide to the Council, through the Committee, a midterm briefing within 90 days from its establishment;	0
45. The Government of Nepal should ensure that adequate protective measures are in place for child victims and witnesses and for children accused of crimes in the context of conflict, as well as include children's participation in any activities of transitional justice to ensure that their experiences of the conflict are heard.	0
58. To achieve sustainable return and viable minority communities, a process of decentralization will be required. It will improve the ability of non-Albanian communities in Kosovo to protect their identity and livelihood, build their confidence in the future and encourage them to take a more active part in the governing institutions of Kosovo.	0
Freedom of movement has also been restricted.	0
It interlaces a new message with footage showing Mustafa Abu Al Yazeed, a.k.a. Sheikh Saeed, the head of Al-Qaida in Afghanistan, together with Taliban leaders; excerpts from Bin Laden's messages; television news stories; clips of prominent Heads of State and Government, including many from Arab countries; officials from the Central Intelligence Agency (CIA); officials from the North Atlantic Treaty Organization (NATO); counter-terrorism experts; Muslim clerics; scholars; journalists; lawyers, and Western supporters of Al-Qaida.	1
To carry out their plan, they intend to unite various militias under their control and equip and train them in Fer Fer (Ethiopia) and Waajid (Bakool region).	0
Regarding the deployment of UNMISS, she noted that the force was making every effort, as the additional deployment was completed, to extend its presence outside the bases.	0
During the Committee's informal consultations on 22 May, the Coordinator of the Monitoring Team gave an oral presentation on the current threat to international peace and security posed by AlQaida and its affiliates.	1
The new democratic Government of Pakistan has inherited imposing political, economic and security challenges.	1
In March 2009, when the arrest warrant for President Omar al-Bashir was issued, some predicted that this judicial order against the Sudan's sitting head of State would destroy prospects for implementing the 2005 Comprehensive Peace Accord.	1
The participants agreed that the presence in Yemen of AlQaida in the Arabian Peninsula posed a major challenge to a peaceful transition and underlined the need for targeted international support to be provided to Yemen to combat terrorism.	1
It is thus concerned largely with aspects of social contexts that may be conducive to the spread of terrorism.	1
He replied that war removed the key requirements for the rule of law and one of the particular problems encountered was the absence of magistrates in the face of advancing armies.	0
Cooperation in regional border management continues to improve, including through the establishment of joint patrols, sharing of information and regional mechanisms for border control and customs cooperation.	0
For example, the Commission found that on numerous occasions the term Janjaweed was used, by victims and members of the authorities, to describe particular men they had named as leaders of attacks on villages in which civilians were killed and rapes were committed.	0
Its conclusions have serious implications for the accountability of government officials and its recommendations must be carefully considered by the Council as it determines what approach should be taken to finally end abuse and impunity in Darfur.	0
"The Security Council reiterates its demand to all parties to armed conflict to immediately and completely cease all forms of violence against women and girls, including acts of sexual violence.	1
It encourages communities to be self-monitoring and to counter polarizing views without Government interference as a more sustainable way to prevent radicalization within communities.	0
1. Al-Qaida affiliates gained ground in northern Mali in 2012, triggering a political crisis and international intervention.	0
Aside from these operational matters, as a general policy, the Ombudsperson will treat the requests submitted as confidential.	0
40. Over the past month and a half, some preliminary attempts were made by the Haitian authorities to address administration of justice and detention issues.	1
Also, poorly identified names risk application of the sanctions to the wrong persons.	1
While neither side appears ready to return to war, there is a concerning pattern of escalation and destabilization that could lead to large-scale confrontation and put more civilian lives at risk.	1
In other words, the National Commission was fully aware of the serious allegations of the crimes committed in Darfur.	1
Decides that [the mission] shall have the following mandate ...: (e) Work closely with the Government to ensure the implementation of its commitments to address serious violations against children, in particular the finalization of the Action Plan to release children present in the [armed forces] and to prevent further recruitment, with the support of the Monitoring and Reporting Mechanism.	0
"The Security Council strongly condemns the continuing use of Afghan territory, especially areas controlled by the Taliban, for the sheltering and training of terrorists and planning of terrorist acts, and reaffirms its conviction that the suppression of international terrorism is essential for the maintenance of international peace and security. It insists that the Taliban cease the provision of sanctuary and training for international terrorists and their organizations, take effective measures to ensure that the territory under its control is not used for terrorist installations and camps or for the preparation or organization of terrorist acts against other States or their citizens, and cooperate with efforts to bring indicted terrorists to justice.	1
We urge Israel to halt its military raids in Gaza.	1
Clearly, the Commission may not be in a position to fulfil these tasks if it has not previously established (a) whether the violations amount to international crimes, and, if so, (b) under what categories of crimes they fall (war crimes, crimes against humanity, genocide, or other crimes).	1
It remains my advice that the complex security challenges in Somalia cannot be addressed within the capabilities of a typical United Nations peacekeeping force and that a multinational force is the right tool for stabilizing Mogadishu.	1
341. Other sources reported that women and girls were abducted, held in confinement for several days and repeatedly raped by Janjaweed and soldiers in villages under attack, military camps and hideouts. Further, torture was reportedly used to prevent women from escaping.	0
(a) Continue to remind Member States of their obligation to extradite or prosecute in accordance with the applicable international counter-terrorism instruments to which they are parties and to remind States of their obligation to ensure that claims of political motivation are not regarded as grounds for refusing requests for the extradition of alleged terrorists;	1
Moreover, Chile is of the view that operative paragraph 2 of the draft resolution contains a condemnation of suicide attacks against civilians only.	1
However, we are concerned at reports that tension between governing and opposition parties has intensified.	1
High priority must now be accorded to the challenge of establishing local and regional administrations in regions recovered from Al-Shabaab.	1
The recent issuance by the Council of Ulemas of a religious decree condemning narcotics and other related activities can be instrumental in discouraging the cultivation of opium poppy.	1
In the statement, President Abbas also expressed his full support for the measures taken in recent weeks by the Government of Lebanon to ban the carrying of arms outside the Palestinian refugee camps, to halt illegal transfers of arms and people and to assert its monopoly on the use of force and exert its control over all of its territory.	0
Stress the importance of ending impunity for violations of applicable international humanitarian law and human rights law as part of a comprehensive approach to seeking sustainable peace, justice, truth and national reconciliation.	1
There have been a series of isolated incidents ranging from bombings to alleged Al-Qaida-linked training in South Africa.	0
A total of 72 per cent of the planned police personnel had deployed (5 per cent of whom are women).	0
"The Security Council underlines the importance of exploring the potential and existing capacities of regional and subregional organizations in the field of peace and security, covering, inter alia, the spectrum of conflict prevention, confidence-building, conflict resolution, peacemaking, peacekeeping, and post-conflict peacebuilding, and welcomes regional dialogue and the promotion of shared norms as well as common regional approaches to the settlement of disputes and other issues relating to peace and security.	0
A September 2005 study of foreign-born terrorists who had operated in the United States concluded that about two thirds had engaged in fraud to enter or remain in the country, with more than one third subsequently charged with passport or visa fraud or of making false statements to an immigration official.	0
Among the meetings it attended were two conferences which led to a specific request to the UNODC to organize reporting workshops for States from Africa and the Caribbean/Latin America that owe reports to one or more of the three Security Council Committees which deal with counter-terrorism.	0
They have been set up in response to allegations of international human rights and humanitarian law violations in conflict contexts as well as in situations of high levels of violence, often but not exclusively related to electoral or political processes, involving serious violations of human rights law.	1
Those born before 25 May 1988 or recruited after 25 May 2006 were to be immediately discharged, as required by the Comprehensive Peace Agreement.	0
Some reports have implied, and a few have determined, that the elements of the crime of genocide are present in the patterns and nature of violations committed by the Government and its militias.	0
All States have enacted laws to control the manufacture, possession, acquisition, sale, transfer, transport and supply of small arms and ammunition, but these laws do not include clear provisions on arms brokering, transit of weapons or Security Council arms embargoes.	0
Borders Intelligence guards are under the direct control of the Military Intelligence officers in the particular division where they are deployed and otherwise fall under the regular chain of command for the armed forces.	0
IED incidents often result in a large number of civilian casualties, widespread destruction of infrastructure, and the economic disruption of entire communities".	0
In response, the UNMIK Department of Justice established a joint working group with the institution building pillar to study the report and develop ways to implement its recommendations.	0
In response to the events in the Syrian Arab Republic, including a report received by the United Nations High Commissioner for Human Rights, the Under-Secretary-General welcomed the recent decision by the Human Rights Council to establish an international commission of inquiry on the matter.	0
Support the establishment of journalists' associations and networking and advocate for safety of women media professionals and independent media run by women's associations; promote capacity-building of faculties of journalism.	0
The Council supports the idea of establishing a rule of law assistance unit within the Secretariat and looks forward to receiving the Secretariat's proposals for implementation of the recommendations set out in paragraph 65 of the Secretary-General's report on the rule of law and transitional justice in conflict and post-conflict societies (S/2004/616).	0
4. Notes with concern the close connection between international terrorism and transnational organized crime, illicit drugs, money-laundering, illegal arms-trafficking, and illegal movement of nuclear, chemical, biological and other potentially deadly materials, and in this regard emphasizes the need to enhance coordination of efforts on national, subregional, regional and international levels in order to strengthen a global response to this serious challenge and threat to international security;	1
We condemn the repeated terrorist rocket attacks on Israeli civilian targets.	1
Closer or better organized associations between affiliates could potentially increase the threat they pose.	0
It appears that UNOCI provided permission for FACI to fly its surviving Mi-24 aircraft and a BAC 167 Strikemaster from Yamoussoukro to Abidjan airbase on 24 January 2005 after they had been inspected for weapons by the Yamoussoukro United Nations Military Observers MILOB team.	0
1. Expresses its strong condemnation of all forms of violence, including, inter alia, murder, rape and sexual assault, intimidation, armed robbery, abduction, hostage-taking, kidnapping, harassment and illegal arrest and detention to which those participating in humanitarian operations are increasingly exposed, as well as attacks on humanitarian convoys and acts of destruction and looting of their property;	1
Condemns in the strongest terms all sexual and other forms of violence committed against civilians in armed conflict, in particular women and children, and undertakes to ensure that all peace support operations employ all feasible measures to prevent such violence and to address its impact where it takes place.	1
Recalling the Presidential Statement of the Security Council (S/PRST/2012/17) of 4 May 2012 on threats to international peace and security caused by terrorist acts,	1
5. Further, it is respectfully submitted that there are other, quicker and simpler methods which will ensure that the victims of criminal acts in Rwanda receive just compensation.	0
From the viewpoint of international criminal law these violations of international humanitarian law no doubt constitute large-scale war crimes.	0
"The Security Council underscores the need for Member States in post-conflict situations, in consultation with, inter-alia, civil society, including women organizations, to address the specific requirements and priorities of women and girls in their national strategies to improve their socioeconomic conditions, participation in income generating activities, and their access to education and basic services.	0
Frequent clashes between FARDC troops and armed groups operating in the area have resulted in numerous civilian casualties.	0
243. Globally, charitable giving is an indispensable financial resource, particularly for many developing States and for States that have suffered major disasters.	0
These recommendations suggest that the Committee: (a) encourage States, prior to proposing a listing, and without prejudice to its right to continue with its submission, to consider contacting the State of residence and/or citizenship of the proposed designee; (b) clarify the procedure to be followed in cases in which innocent persons with a name similar to a listed party mistakenly have their assets frozen by a State; (c) require that States forward petitions for de-listing to the Committee, even if they object to the particular petitions, so the Committee may make the ultimate determination; (d) enlarge the number of States that may submit de-listing petitions; (e) endeavour to reach a decision on de-listing petitions within a defined period, where possible, and notify the petitioning State of the outcome; (f) clarify that de-listing is available, under certain conditions, both for a party that was designated wrongly and for those who renounce terrorism and demonstrate to the Committee's satisfaction that they are no longer associated with Al-Qaida or the Taliban; and (g) permit, under appropriate circumstances, for de-listing of deceased persons (S/2005/572, paras. 28, 31, 55-57 and footnote 26).	0
The situation of minorities is still a reason for concern, especially regarding freedom of movement and access to justice.	1
"antagonisms between opposing political forces are casting a shadow on the country's recent democratic success and threatening its progress towards lasting stability" (S/2011/540, para. 55).	1
"The Security Council encourages the AU-RTF to maintain its operations against all LRA groups, while working with the UN and non-governmental organisations to establish safe reporting sites and provide information to assist LRA who demonstrate a genuine commitment to demobilisation and disarmament.	1
In other words, the fight against terrorism should be a joint effort with a holistic approach and long-term dedication.	0
Well-informed Somalis and others who have intimate knowledge of developments on both sides say, regarding the likelihood of a military confrontation, that it is not a question of if, but when.	1
"The Security Council calls on Sudan and Chad to respect and fully implement their mutual commitments, in particular in the Doha Agreement of 3 May 2009 and the Dakar Agreement of 13 March 2008, and to engage constructively with the Dakar contact group and the good offices of Libya and Qatar, to normalize their relations, cooperate to put an end to cross-border activities of armed groups and strengthen actions to combat illicit arms trafficking in the region, including through the establishment of an effective joint border monitoring.	0
It also noted that acts of terrorism were defined as common crimes and dealt with under standard criminal procedures, rather than under special rules or by special tribunals.	1
"The Security Council reiterates its condemnation of all targeted assassinations of Lebanese leaders, particularly since October 2004, and demands an immediate end of the use of intimidation and violence against the representatives of the Lebanese people and institutions.	1
However, on the ground, the situation is complex and troubling, especially for minority communities.	0
"The Security Council unequivocally condemns the terrorist attack that took place in Marib, Republic of Yemen, on 2 July 2007, and expresses its deepest sympathy and condolences to the victims of these attacks and their families, and to the peoples and Governments of the Republic of Yemen and the Kingdom of Spain.	1
236. The exact number of villages burned and destroyed has not been counted, but several sources have estimated the extent of destruction through verbal accounts, site inspections and other evidence.	0
Demands that all armed groups, in particular [specific armed group] elements prevent the recruitment and use of children, further demands that all parties protect and consider as victims those children who have been released or otherwise separated from armed forces and armed groups, and emphasizes the need to pay particular attention to the protection, release and reintegration of all children associated with armed groups;	1
